Code	Parents	Parent plasmid
PKW1414	/MATERIALS/US1138 /MATERIALS/US1211	pKW345 - pRS315(G)
PKW1415		pKW1558
PKW1416		pKW1558
PKW1417		pKW961
PKW1418	/MATERIALS/US1214 /MATERIALS/US1215	pKW 970
PKW1419		pRS426 (pKW354)
PKW142		pJG4-5
PKW1420		pKW 1418
PKW1421	/MATERIALS/US1229 /MATERIALS/US1231	pKW1169
PKW1422	/MATERIALS/US1229 /MATERIALS/US1231	pKW1169
PKW1423		pKW1384
PKW1424	/MATERIALS/US1228 /MATERIALS/US1230	pKW1169
PKW1425	/MATERIALS/US1228 /MATERIALS/US1230	pKW1185
PKW1426	/MATERIALS/US1228 /MATERIALS/US1229	pKW1424
PKW1427	/MATERIALS/US1228 /MATERIALS/US1229	pKW1425
PKW1428		pKW927
PKW1429	/MATERIALS/US1252 /MATERIALS/US1253	pKW348
PKW143		pJG4-5
PKW1430		pKW1557
PKW1431		pKW349
PKW1432	/MATERIALS/US1070 /MATERIALS/US803	pkw1361
PKW1433	/MATERIALS/US1135 /MATERIALS/US803	pkw1361
PKW1434	/MATERIALS/US1136 /MATERIALS/US803	pKW1361
PKW1435	/MATERIALS/US1134 /MATERIALS/US803	pKW1361
PKW1436		
PKW1437		
PKW1438		pKW346
PKW1439		pKW1228
PKW144		pKW149 - pSGK-45
PKW1440		pKW1228
PKW1441		pKW349
PKW1442		pKW931
PKW1443		pKW1430
PKW1444		pKW1443
PKW1445		pKW1443
PKW1446		
PKW1447		pKW409-pGFPS65T-NES
PKW1448		pKW927
PKW1449		pKW 486
PKW145		pSGK1
PKW1450		pET 30a
PKW1451	/MATERIALS/US1256 /MATERIALS/US1258	pET 30a
PKW1452	/MATERIALS/US1146 /MATERIALS/US1257	pET 30a
PKW1453	/MATERIALS/US1257 /MATERIALS/US1258	pET 30a
PKW1454	/MATERIALS/US190 /MATERIALS/US803	pKW349 - pRS315
PKW1455		
PKW1456		
PKW1457		pKW931
PKW1458		pKW1407
PKW1459		pKW1611 - pSV271
PKW146		pKW149 - pSGK-45
PKW1460		pKW349
PKW1461		pKW933
PKW1462	/MATERIALS/US1280 /MATERIALS/US1281	pKW 1113
PKW1463	/MATERIALS/US1236 /MATERIALS/US1237	pKW 987
PKW1464		
PKW1465		
PKW1466		
PKW1467		
PKW1468		
PKW1469		
PKW147		pKW149 - pSGK-45
PKW1470		pKW1331
PKW1471		pKW1332
PKW1472		pKW1346
PKW1473		pKW1346
PKW1474		pKW1443
PKW1475		pKW970
PKW1476		pKW987
PKW1477		pKW349
PKW1478		pKW1443
PKW1479		pKW1477
PKW148		pKW149 - pSGK-45
PKW1480		pKW1477
PKW1481		pKW1477
PKW1482		pKW1477
PKW1483		pKW1477
PKW1484		pKW1477
PKW1485		pKW1477
PKW1486		pKW1477
PKW1487		pKW1477
PKW1488		pKW1477
PKW1489		pKW1558
PKW149		pSGK1
PKW1490		pKW1558
PKW1491		pKW975
PKW1492	/MATERIALS/US1146 /MATERIALS/US1317	pKW 1467
PKW1493	/MATERIALS/US1146 /MATERIALS/US1257	pKW 1467
PKW1494		pKW1484
PKW1495		pKW1485
PKW1496		pKW1486
PKW1497		pKW1484
PKW1498		pKW1485
PKW1499		pKW1486
PKW15		
PKW150		pSGK1
PKW1500		pKW1484
PKW1501		pKW1485
PKW1502		pKW1486
PKW1503		
PKW1504		pKW1221
PKW1505		pKW1504
PKW1506		YCPlac33
PKW1507		
PKW1508		pKW431
PKW1509		
PKW151		pKW149 - pSGK-45
PKW1510		
PKW1511		
PKW1512		
PKW1513		
PKW1514		
PKW1515		
PKW1516		
PKW1517		
PKW1518		
PKW1519		
PKW152		pKW149 - pSGK-45
PKW1520		
PKW1521		
PKW1522		
PKW1523		
PKW1524		
PKW1525		
PKW1526		
PKW1527		pKW346
PKW1528		pKW346
PKW1529		pKW346
PKW153		pSGK1
PKW1530	/MATERIALS/US1291 /MATERIALS/US1292	pKW1346
PKW1531	/MATERIALS/US1379 /MATERIALS/US1380	pKW 966
PKW1532		
PKW1533		pALR10
PKW1534		
PKW1535		
PKW1536		pKW503
PKW1537		pKW970
PKW1538	/MATERIALS/US1361 /MATERIALS/US1362	pKW1473
PKW1539	/MATERIALS/US1361 /MATERIALS/US1362	pKW1473
PKW154		pSGK1
PKW1540	/MATERIALS/US1399 /MATERIALS/US789	pKW1473
PKW1541	/MATERIALS/US1399 /MATERIALS/US789	pKW1473
PKW1542		
PKW1543	/MATERIALS/US1313 /MATERIALS/US1365	pKW963
PKW1544		pECFP-C1
PKW1545		pKW966
PKW1546	/MATERIALS/US1257 /MATERIALS/US1400	pKW1532
PKW1547		pKW927
PKW1548		pKW503
PKW1549		pKW1536
PKW155		pKW149 - pSGK-45
PKW1550		pKW1472
PKW1551		pKW1472
PKW1552		pKW1430
PKW1553		pKW1444
PKW1554		pKW1445
PKW1555		pKW1478
PKW1556		pKW1505
PKW1557		pKW1558
PKW1558		pKW349
PKW1559		pKW1505
PKW156		pKW146 - pSGK-21
PKW1560		pKW1505
PKW1561		pKW1505
PKW1562		
PKW1563		
PKW1564		
PKW1565		pKW1341
PKW1566		pKW503
PKW1567		pKW503
PKW1568		pKW503
PKW1569		pKW503
PKW157		pUEXI
PKW1570		pKW503
PKW1571		pKW503
PKW1572		pKW708
PKW1573		pKW708
PKW1574		
PKW1575	/MATERIALS/US1361 /MATERIALS/US1398	pKw1530
PKW1576		pKW1443
PKW1577		pKW1474
PKW1578	/MATERIALS/US492 /MATERIALS/US493	pKW 312
PKW1579		pKW1548
PKW158		pEG202
PKW1580		pKW784
PKW1581		pKW784
PKW1582		pKW927
PKW1583		pKW503
PKW1584		pKW1476
PKW1585		pKW970
PKW1586		pKW1578
PKW1587		pKW1585
PKW1588	/MATERIALS/US1388 /MATERIALS/US1389	pKW 975
PKW1589		pBlueScript
PKW159		pSH17-4
PKW1590		pBlueScript
PKW1591		
PKW1592		pKW 1475
PKW1593		
PKW1594		
PKW1595		
PKW1596		pKW503
PKW1597		
PKW1598		
PKW1599		
PKW16		pGEM-5Zf
PKW160		pKW158 - pEG202
PKW1600		pKW970
PKW1601		pKW1592
PKW1602		
PKW1603		
PKW1604		
PKW1605		pKW1008
PKW1606		pKW1605
PKW1607		
PKW1608		pKW1592
PKW1609		pGEX-2TK
PKW161		pJK101
PKW1610		
PKW1611		
PKW1612		pKW968
PKW1613		pKW 969
PKW1614		pKW 972
PKW1615		pKW 973
PKW1616		pKW 1592
PKW1617		pKW344
PKW1618		
PKW1619		pKW1618
PKW162		LR1Del1
PKW1620	/MATERIALS/US1486 /MATERIALS/US1487	pKW 1257
PKW1621	/MATERIALS/US1378 /MATERIALS/US1381	pKW810
PKW1622		pKW1621
PKW1623		pKW1621
PKW1624		pKW1621
PKW1625		pKW1006
PKW1626	/MATERIALS/US1446 /MATERIALS/US1461	pKW 1622
PKW1627	/MATERIALS/US1446 /MATERIALS/US1461	pKW 1622
PKW1628		pKW230
PKW1629	/MATERIALS/US1448 /MATERIALS/US1449	pKW 1467
PKW163		pKW158 - pEG202
PKW1630		pKW1257
PKW1631		pKW1630
PKW1632		pKW349
PKW1633		pKW349
PKW1634		pKW 1629
PKW1635		pKW1628
PKW1636	/MATERIALS/US102 /MATERIALS/US1466	pKW 1587
PKW1637	/MATERIALS/US102 /MATERIALS/US539	pKW 966
PKW1638	/MATERIALS/US102 /MATERIALS/US538	pKW 966
PKW1639	/MATERIALS/US102 /MATERIALS/US539	pKW 1592
PKW164		pJG4-5
PKW1640		pKW1254
PKW1641		pKW 1600
PKW1642		pKW348
PKW1643		pkw983
PKW1644		pkw983
PKW1645		
PKW1646		
PKW1647		
PKW1648		pKW 1585
PKW1649		pKW1642
PKW165		pKW163 - pEG202+4
PKW1650		pKW1642
PKW1651		pKW1642
PKW1652		pKW1642
PKW1653		pKW1642
PKW1654		pKW1642
PKW1655		pKW1642
PKW1656		pKW1642
PKW1657		pKW1642
PKW1658	/MATERIALS/US1496 /MATERIALS/US1497	pKW503 - pBluescript II KS+
PKW1659		pKW 1585
PKW166		pKW165 - pEG80
PKW1660	/MATERIALS/US102 /MATERIALS/US1466	pKW 1592
PKW1661	/MATERIALS/US102 /MATERIALS/US1528	pKW 966
PKW1662	/MATERIALS/US1517 /MATERIALS/US1518	pKW1620
PKW1663		
PKW1664		
PKW1665		
PKW1666		
PKW1667		
PKW1668		
PKW1669		pKW348
PKW167		pJG4-5
PKW1670		pKW1669
PKW1671		pKW1669
PKW1672		pKW1669
PKW1673	/MATERIALS/US1557 /MATERIALS/US1558	pKW503 - pBluescript II KS+
PKW1674		pKW758 - pAFS52 lac operator
PKW1675		
PKW1676		pSV271
PKW1677		pSV272
PKW1678		
PKW1679		pKW 1585
PKW168		pJG4-5
PKW1680		pKW 1585
PKW1681		pKW 1585
PKW1682		
PKW1683		
PKW1684		pKW 1587
PKW1685		pKW960
PKW1686		pKW1685
PKW1687		pKW 1685
PKW1688		pKW658 - pGEX-4T-2
PKW1689		pKW1674 - pAFS52-lacOp-YBR022W
PKW169		pJG4-5
PKW1690	/MATERIALS/US1592 /MATERIALS/US1594	pKW353
PKW1691		
PKW1692	/MATERIALS/US1599 /MATERIALS/US1600	pKW 1274
PKW1693	/MATERIALS/US1593 /MATERIALS/US1594	pKW353
PKW1694		pKW1224
PKW1695		pCDNA6.2/V5/GW/D-TOPO (Invitrogen)
PKW1696		pCDNA6.2/V5/GW/D-TOPO (Invitrogen)
PKW1697	/MATERIALS/US1617 /MATERIALS/US1618	pKW1690
PKW1698		pRS306 INO1
PKW1699		p6INO1lac128
PKW17		
PKW170		pJG4-5
PKW1700		
PKW1701		pKW1697
PKW1702		pKW1697
PKW1703		pKW1697
PKW1704		pKW1697
PKW1705		pKW1601
PKW1706	/MATERIALS/US1617 /MATERIALS/US1618	pKW1693
PKW1707		pKW 1462
PKW1708		pKW1467
PKW1709		pKW1467
PKW171		pJG4-5
PKW1710		pKW1467
PKW1711		pKW 1601
PKW1712	/MATERIALS/US1599 /MATERIALS/US1600	pKW1528
PKW1713		pKW348
PKW1714		pKW348
PKW1715		pKW348
PKW1716		pSV272
PKW1717		pSV212
PKW1718		pKW350
PKW1719		pKW1611
PKW172		pKW163 - pEG202+4
PKW1720		pSV272
PKW1721		pKW708
PKW1722		
PKW1723		
PKW1724		
PKW1725		pKW230
PKW1726	/MATERIALS/US1619 /MATERIALS/US1620	PKW1258
PKW1727		pKW350
PKW1728		pKW350
PKW1729		pKW350
PKW173		pKW158 - pEG202
PKW1730		
PKW1731		pKW 1707
PKW1732		pKW1725
PKW1733	/MATERIALS/US1599 /MATERIALS/US1600	pKW1258
PKW1734	/MATERIALS/US1599 /MATERIALS/US1600	pKW1258
PKW1735	/MATERIALS/US1623 /MATERIALS/US1624	pKW1258
PKW1736		pKW1156
PKW1737		pKW708
PKW1738		
PKW1739		pKW348
PKW174		pKW158 - pEG202
PKW1740		pKW348
PKW1741		pKW348
PKW1742		pKW1358
PKW1743		pKW347
PKW1744		pKW349
PKW1745		pKW 1601
PKW1746		pKW 1601
PKW1747		pKW1601
PKW1748		pKW 1601
PKW1749		pKW1601
PKW175		pKW158 - pEG202
PKW1750		pKW1601
PKW1751	/MATERIALS/US1687 /MATERIALS/US1688	pKW1291
PKW1752		pKW1706 (NUP59-CFP)
PKW1753		pSV272
PKW1754		pKW348
PKW1755		pKW348
PKW1756		pKW348
PKW1757		pKW347
PKW1758		pKW348
PKW1759		pKW349
PKW176		pKW158 - pEG202
PKW1760		pKW343
PKW1761		pKW344
PKW1762		pKW345
PKW1763		pKW346
PKW1764		pKW347
PKW1765		pKW347
PKW1766		pKW348
PKW1767		pKW348
PKW1768		pKW349
PKW1769		pKW349
PKW177		pKW158 - pEG202
PKW1770		pKW350
PKW1771		pKW350
PKW1772		pKW350
PKW1773		
PKW1774		
PKW1775		
PKW1776		pKW348
PKW1777	/MATERIALS/US1600 /MATERIALS/US1696	pKW 1258
PKW1778	/MATERIALS/US1600 /MATERIALS/US1697	pKW1258
PKW1779	/MATERIALS/US1600 /MATERIALS/US1698	pKW1258
PKW178		pKW172 - pEG-XCons
PKW1780		pKW349
PKW1781		pKW1258
PKW1782		pKW1301
PKW1783		pKW1216 (NLS-RFP)
PKW1784		
PKW1785		
PKW1786		
PKW1787		pKW708
PKW1788		pRS314
PKW1789		pKW1788
PKW179		pKW178 - pEG-XCons-941/942
PKW1790		pKW1788
PKW1791		
PKW1792		
PKW1793	/MATERIALS/US1766 /MATERIALS/US1767	pKW1544
PKW1794	/MATERIALS/US1759 /MATERIALS/US1760	pCW405
PKW1795		pKW1793
PKW1796		pKW589
PKW1797		pKW589
PKW1798		pKW589
PKW1799		pKW589
PKW18		
PKW180		pKW178 - pEG-XCons-941/942
PKW1800		pKW589
PKW1801		pKW589
PKW1802		pKW589
PKW1803		pKW1742
PKW1804	/MATERIALS/US1795 /MATERIALS/US1796	pKW970
PKW1805		pKW1743
PKW1806		pKW1472
PKW1807		pKW1472
PKW1808		pKW1745
PKW1809		pKT127
PKW181		pKW178 - pEG-XCons-941/942
PKW1810		pKT128
PKW1811		pKT209
PKW1812		pKT127
PKW1813		pKT128
PKW1814		pKW710
PKW1815		pKW708
PKW1816		pKW1721
PKW1817		
PKW1818		pKW349
PKW1819		
PKW182		pKW178 - pEG-XCons-941/942
PKW1820		pKW1818
PKW1821		
PKW1822		
PKW1823		
PKW1824		
PKW1825		
PKW1826		
PKW1827		
PKW1828		
PKW1829		pKW1472
PKW183		pKW178 - pEG-XCons-941/942
PKW1830	/MATERIALS/US1790 /MATERIALS/US1791	pKW1276
PKW1831		
PKW1832		
PKW1833		pKW708
PKW1834		pKW1833
PKW1835		pKW1768
PKW1836		pKW1768
PKW1837		pKW1769
PKW1838	/MATERIALS/US1842 /MATERIALS/US1843	pKW988- Pho4-GFP3
PKW1839		pKW1769
PKW184		pKW178 - pEG-XCons-941/942
PKW1840		pKW349
PKW1841		pKW1081
PKW1842		
PKW1843		
PKW1844		pKW1608
PKW1845		pKW1841
PKW1846		pFBHTC
PKW1847	/MATERIALS/US1779 /MATERIALS/US1780	pKW503
PKW1848	/MATERIALS/US1779 /MATERIALS/US1780	pKW503
PKW1849		pKW1472
PKW185		pKW178 - pEG-XCons-941/942
PKW1850		pKW1472
PKW1851	/MATERIALS/US1737 /MATERIALS/US1738	pKW1642
PKW1852	/MATERIALS/US1737 /MATERIALS/US1738	pKW1642
PKW1853		pBACe3.6
PKW1854		pBACe3.6
PKW1855		
PKW1856		
PKW1857		
PKW1858		
PKW1859		pKW1648
PKW186		pKW178 - pEG-XCons-941/942
PKW1860	/MATERIALS/US1895 /MATERIALS/US1896	pKW1608
PKW1861		pEGFP-C1
PKW1862		pKW1648
PKW1863		pKW1721
PKW1864		pKW1815
PKW1865		pKW1844
PKW1866		
PKW1867		pKW710
PKW1868	/MATERIALS/US578 /MATERIALS/US582	pKW709
PKW1869		
PKW187		pKW178 - pEG-XCons-941/942
PKW1870		pkw1348
PKW1871		pKW1864
PKW1872		
PKW1873		pKW657
PKW1874		pKW657
PKW1875		
PKW1876		
PKW1877		
PKW1878		
PKW1879		
PKW188		pKW178 - pEG-XCons-941/942
PKW1880		pET101DTOPO
PKW1881		pKW1880
PKW1882	/MATERIALS/US2000 /MATERIALS/US2001	pKW1467
PKW1883		
PKW1884		pKW1818
PKW1885		pKW1820
PKW1886		pKW1834
PKW1887		maybe EBO347 (pKW845)
PKW1888		
PKW1889		
PKW189		pKW178 - pEG-XCons-941/942
PKW1890		
PKW1891	/MATERIALS/US2025 /MATERIALS/US2026	pKW195
PKW1892		"pGFP-Cb (Shulga,Goldfarb 1999)"
PKW1893		"pGFP-Cb (Shulga,Goldfarb 1999)"
PKW1894		"pGFP-Cb (Shulga,Goldfarb 1999)"
PKW1895		"pGFP-Cb (Shulga,Goldfarb 1999)"
PKW1896		"pGFP-Cb (Shulga,Goldfarb 1999)"
PKW1897		"pGFP-Cb (Shulga,Goldfarb 1999)"
PKW1898		pKW349
PKW1899	/MATERIALS/US1879 /MATERIALS/US1880	pKW631
PKW19		pUEXI
PKW190		pUEXI
PKW1900	/MATERIALS/US2027 /MATERIALS/US2028	pKW 1891
PKW1901		pKW1348
PKW1902	/MATERIALS/US2026 /MATERIALS/US2076	pKW195
PKW1903		pKW1902
PKW1904		
PKW1905		
PKW1906		pKW961
PKW1907	/MATERIALS/US2027 /MATERIALS/US2028	pKW1902
PKW1908	/MATERIALS/US2027 /MATERIALS/US2028	pKW1902
PKW1909		pKW1901
