TARGET	COMPOUND	DESC
P28221	CHEMBL143951	Displacement of [3H]5-HT binding to cloned human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells
P28221	CHEMBL159483	Displacement of [3H]5-HT binding from the cloned human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells
P28221	CHEMBL14508	Stimulatory activity against serotonin secretion (SEC).
P28221	CHEMBL15228	Inhibition of U-46,619 by the compound in response of SEC
P28221	CHEMBL15228	Inhibition of ADP by the compound in response of SEC
P28221	CHEMBL15228	Inhibition of AA+phentolamine by the compound in response of SEC
P28221	CHEMBL117249	Displacement of [3H]5-HT binding to the cloned human 5-hydroxytryptamine 1D receptor stably expressed in CHO cells
P28221	CHEMBL81485	Binding affinity for human cloned 5-hydroxytryptamine 1D receptor
P28221	CHEMBL148071	Binding affinity at human cloned 5-hydroxytryptamine 1D receptor stably expressed in CHO cells by [3H]5-HT displacement.
P28221	CHEMBL88784	Ability to bind to 5-hydroxytryptamine 1D receptor of calf substantia nigra
P28221	CHEMBL90405	Ability to bind to 5-hydroxytryptamine 1D receptor of calf substantia nigra
P28566	CHEMBL14508	Stimulatory activity against serotonin secretion (SEC).
P28566	CHEMBL15228	Inhibition of U-46,619 by the compound in response of SEC
P28566	CHEMBL15228	Inhibition of ADP by the compound in response of SEC
P28566	CHEMBL15228	Inhibition of AA+phentolamine by the compound in response of SEC
P28566	CHEMBL22744	Binding affinity to 5HT1E receptor
P28566	CHEMBL15228	Inhibition of U-46,619 + phentolamine by the compound in response of SEC
P28566	CHEMBL22744	Inhibitory activity against 5-hydroxytryptamine 1E receptor subtype
P28566	CHEMBL15228	Inhibition of Arachidonic acid by the compound in response of SEC
P28566	CHEMBL335423	Ability to inhibit the binding of [3H]5-HT to 5-hydroxytryptamine receptor
P28566	CHEMBL334923	Compound was tested for binding affinity against 5-HT1 receptor
P28566	CHEMBL14651	Stimulatory activity against serotonin secretion (SEC).
P30939	CHEMBL14508	Stimulatory activity against serotonin secretion (SEC).
P30939	CHEMBL15228	Inhibition of U-46,619 by the compound in response of SEC
P30939	CHEMBL15228	Inhibition of ADP by the compound in response of SEC
P30939	CHEMBL15228	Inhibition of AA+phentolamine by the compound in response of SEC
P30939	CHEMBL15228	Inhibition of U-46,619 + phentolamine by the compound in response of SEC
P30939	CHEMBL15228	Inhibition of Arachidonic acid by the compound in response of SEC
P30939	CHEMBL335423	Ability to inhibit the binding of [3H]5-HT to 5-hydroxytryptamine receptor
P30939	CHEMBL334923	Compound was tested for binding affinity against 5-HT1 receptor
P30939	CHEMBL14651	Stimulatory activity against serotonin secretion (SEC).
P30939	CHEMBL14837	Stimulatory activity against serotonin secretion (SEC).
P30939	CHEMBL14982	Stimulatory activity against serotonin secretion (SEC).
P28223	CHEMBL14508	Stimulatory activity against serotonin secretion (SEC).
P28223	CHEMBL1214045	Displacement of [3H]ketanserin from human recombinant 5HT2A expressed in CHOK1 cells
P28223	CHEMBL1214176	Displacement of [3H]ketanserin from human recombinant 5HT2A expressed in CHOK1 cells
P28223	CHEMBL1214304	Displacement of [3H]ketanserin from human recombinant 5HT2A expressed in CHOK1 cells
P28223	CHEMBL1214305	Displacement of [3H]ketanserin from human recombinant 5HT2A expressed in CHOK1 cells
P28223	CHEMBL1214366	Displacement of [3H]ketanserin from human recombinant 5HT2A expressed in CHOK1 cells
P28223	CHEMBL1214545	Displacement of [3H]ketanserin from human recombinant 5HT2A expressed in CHOK1 cells
P28223	CHEMBL1213933	Displacement of [3H]ketanserin from human recombinant 5HT2A expressed in CHOK1 cells
P28223	CHEMBL569475	Agonist activity at 5HT2A receptor expressed in HEK cells assessed as inhibition of serotonin-induced inositol phosphate accumulation
P28223	CHEMBL15228	Inhibition of U-46,619 by the compound in response of SEC
P28223	CHEMBL436513	Displacement of [3H]ketanserin from human 5HT2A receptor expressed in CHOK1 cells
P41595	CHEMBL14508	Stimulatory activity against serotonin secretion (SEC).
P41595	CHEMBL15228	Inhibition of U-46,619 by the compound in response of SEC
P41595	CHEMBL15228	Inhibition of ADP by the compound in response of SEC
P41595	CHEMBL15228	Inhibition of AA+phentolamine by the compound in response of SEC
P41595	CHEMBL384160	Activity at 5HT2B receptor expressed in CHO cell assessed as inhibition of alpha-methyl-5HT-stimulated calcium release
P41595	CHEMBL472416	Antagonist activity at 5-HT2B receptor expressed in CHOK1 cells assessed as inhibition of serotonin-induced intracellular Ca2+ flux by aequorin luminescence assay
P41595	CHEMBL21343	Inhibition of 5HT2B receptor
P41595	CHEMBL493	Serotonin (5-Hydroxytryptamine) 5-HT2B radioligand binding (ligand: [3H] Lysergic acid diethylamide)
P41595	CHEMBL1909072	Serotonin (5-Hydroxytryptamine) 5-HT2B radioligand binding (ligand: [3H] Lysergic acid diethylamide)
P41595	CHEMBL214554	Activity at 5HT2B receptor expressed in CHO cell assessed as inhibition of alpha-methyl-5HT-stimulated calcium release
P41595	CHEMBL6616	Displacement of radiolabeled DOI from human 5HT2B receptor agonist site
P28335	CHEMBL54720	Binding affinity towards 5-hydroxytryptamine 2C receptor
P28335	CHEMBL14508	Stimulatory activity against serotonin secretion (SEC).
P28335	CHEMBL53485	Binding activity against 5-hydroxytryptamine 2C receptor from pig cortex membrane using [3H]mesulergine as radioligand.
P28335	CHEMBL300209	Binding activity against 5-hydroxytryptamine 2C receptor from pig cortex membrane using [3H]mesulergine as radioligand.
P28335	CHEMBL493625	Displacement of [3H]mesulergine from human recombinant 5HT2C receptor expressed in CHOK1 cell membrane
P28335	CHEMBL600012	Displacement of [3H]mesulergine from human recombinant 5HT2C receptor expressed in CHO-K1 cells
P28335	CHEMBL604952	Displacement of [3H]mesulergine from human recombinant 5HT2C receptor expressed in CHO-K1 cells
P28335	CHEMBL15228	Inhibition of U-46,619 by the compound in response of SEC
P28335	CHEMBL15228	Inhibition of ADP by the compound in response of SEC
P28335	CHEMBL15228	Inhibition of AA+phentolamine by the compound in response of SEC
P28335	CHEMBL65413	Binding affinity towards 5-hydroxytryptamine 2C receptor
P46098	CHEMBL54720	Displacement of [3H]granisetron form 5HT3 receptor in hybrid NG180-15 cells
P46098	CHEMBL81485	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
P46098	CHEMBL143489	Binding affinity towards 5-hydroxytryptamine 3 receptor
P46098	CHEMBL54125	Binding affinity against 5-hydroxytryptamine 3 receptor was measured using [3H]granisetron as radioligand
P46098	CHEMBL1278087	Displacement of [3H]BRL-43694 from human 5HT3 receptor expressed in HEK293 cells by liquid scintillation counting
P46098	CHEMBL342833	Binding affinity towards 5-hydroxytryptamine 3 receptor
P46098	CHEMBL140856	Binding affinity towards 5-hydroxytryptamine 3 receptor
P46098	CHEMBL314107	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
P46098	CHEMBL244561	Antagonist activity at human 5HT3A receptor expressed in HEK293 cells by FMP assay
P46098	CHEMBL300725	Binding affinity against 5-hydroxytryptamine 3 receptor was measured using [3H]granisetron as radioligand
P46098	CHEMBL388212	Antagonist activity at human 5HT3A receptor expressed in HEK293 cells by FMP assay
O95264	CHEMBL81485	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
O95264	CHEMBL143489	Binding affinity towards 5-hydroxytryptamine 3 receptor
O95264	CHEMBL54125	Binding affinity against 5-hydroxytryptamine 3 receptor was measured using [3H]granisetron as radioligand
O95264	CHEMBL342833	Binding affinity towards 5-hydroxytryptamine 3 receptor
O95264	CHEMBL140856	Binding affinity towards 5-hydroxytryptamine 3 receptor
O95264	CHEMBL314107	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
O95264	CHEMBL300725	Binding affinity against 5-hydroxytryptamine 3 receptor was measured using [3H]granisetron as radioligand
O95264	CHEMBL6437	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
O95264	CHEMBL344248	Binding affinity towards 5-hydroxytryptamine 3 receptor
O95264	CHEMBL358412	Binding affinity towards 5-hydroxytryptamine 3 receptor
O95264	CHEMBL905	Biinding activity against 5-hydroxytryptamine 1A receptor from human brain cortex using [3H]8-OH-DPAT-HT as radioligand.
Q8WXA8	CHEMBL81485	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
Q8WXA8	CHEMBL143489	Binding affinity towards 5-hydroxytryptamine 3 receptor
Q8WXA8	CHEMBL54125	Binding affinity against 5-hydroxytryptamine 3 receptor was measured using [3H]granisetron as radioligand
Q8WXA8	CHEMBL342833	Binding affinity towards 5-hydroxytryptamine 3 receptor
Q8WXA8	CHEMBL140856	Binding affinity towards 5-hydroxytryptamine 3 receptor
Q8WXA8	CHEMBL314107	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
Q8WXA8	CHEMBL300725	Binding affinity against 5-hydroxytryptamine 3 receptor was measured using [3H]granisetron as radioligand
Q8WXA8	CHEMBL6437	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
Q8WXA8	CHEMBL344248	Binding affinity towards 5-hydroxytryptamine 3 receptor
Q8WXA8	CHEMBL358412	Binding affinity towards 5-hydroxytryptamine 3 receptor
Q8WXA8	CHEMBL905	Biinding activity against 5-hydroxytryptamine 1A receptor from human brain cortex using [3H]8-OH-DPAT-HT as radioligand.
Q70Z44	CHEMBL81485	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
Q70Z44	CHEMBL143489	Binding affinity towards 5-hydroxytryptamine 3 receptor
Q70Z44	CHEMBL54125	Binding affinity against 5-hydroxytryptamine 3 receptor was measured using [3H]granisetron as radioligand
Q70Z44	CHEMBL342833	Binding affinity towards 5-hydroxytryptamine 3 receptor
Q70Z44	CHEMBL140856	Binding affinity towards 5-hydroxytryptamine 3 receptor
Q70Z44	CHEMBL314107	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
Q70Z44	CHEMBL300725	Binding affinity against 5-hydroxytryptamine 3 receptor was measured using [3H]granisetron as radioligand
Q70Z44	CHEMBL6437	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
Q70Z44	CHEMBL344248	Binding affinity towards 5-hydroxytryptamine 3 receptor
Q70Z44	CHEMBL358412	Binding affinity towards 5-hydroxytryptamine 3 receptor
Q70Z44	CHEMBL905	Biinding activity against 5-hydroxytryptamine 1A receptor from human brain cortex using [3H]8-OH-DPAT-HT as radioligand.
A5X5Y0	CHEMBL81485	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
A5X5Y0	CHEMBL143489	Binding affinity towards 5-hydroxytryptamine 3 receptor
A5X5Y0	CHEMBL54125	Binding affinity against 5-hydroxytryptamine 3 receptor was measured using [3H]granisetron as radioligand
A5X5Y0	CHEMBL342833	Binding affinity towards 5-hydroxytryptamine 3 receptor
A5X5Y0	CHEMBL140856	Binding affinity towards 5-hydroxytryptamine 3 receptor
A5X5Y0	CHEMBL314107	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
A5X5Y0	CHEMBL300725	Binding affinity against 5-hydroxytryptamine 3 receptor was measured using [3H]granisetron as radioligand
A5X5Y0	CHEMBL6437	Binding affinity for human cloned 5-hydroxytryptamine 3 receptor
A5X5Y0	CHEMBL344248	Binding affinity towards 5-hydroxytryptamine 3 receptor
A5X5Y0	CHEMBL358412	Binding affinity towards 5-hydroxytryptamine 3 receptor
A5X5Y0	CHEMBL905	Biinding activity against 5-hydroxytryptamine 1A receptor from human brain cortex using [3H]8-OH-DPAT-HT as radioligand.
Q13639	CHEMBL14508	Stimulatory activity against serotonin secretion (SEC).
Q13639	CHEMBL15228	Inhibition of U-46,619 by the compound in response of SEC
Q13639	CHEMBL15228	Inhibition of ADP by the compound in response of SEC
Q13639	CHEMBL15228	Inhibition of AA+phentolamine by the compound in response of SEC
Q13639	CHEMBL155917	5-hydroxytryptamine 4 receptor antagonist activity, concentration which gave 50% reduction of the 5-HT-induced contractions in the guinea pig ileum
Q13639	CHEMBL356546	Ability to antagonize 5-HT-evoked contractions mediated through 5-hydroxytryptamine 4 receptor activation in the guinea pig distal colon LMMP
Q13639	CHEMBL15228	Inhibition of U-46,619 + phentolamine by the compound in response of SEC
Q13639	CHEMBL1748	Displacement of [3H]GR-113808 from human recombinant 5-HT4 receptor
Q13639	CHEMBL369037	Inhibitory activity against 5-hydroxytryptamine 4 receptor of guinea pig striatum using [3H]GR-113808 as radioligand
Q13639	CHEMBL287045	5-hydroxytryptamine 4 receptor antagonist activity, concentration which gave 50% reduction of the 5-HT-induced contractions in the guinea pig ileum
Q13639	CHEMBL172314	Inhibitory activity against 5-hydroxytryptamine 4 receptor of guinea pig striatum using [3H]GR-113808 as radioligand
P47898	CHEMBL14508	Stimulatory activity against serotonin secretion (SEC).
P47898	CHEMBL15228	Inhibition of U-46,619 by the compound in response of SEC
P47898	CHEMBL15228	Inhibition of ADP by the compound in response of SEC
P47898	CHEMBL15228	Inhibition of AA+phentolamine by the compound in response of SEC
P47898	CHEMBL320412	Displacement of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor from pig cortex
P47898	CHEMBL15228	Inhibition of U-46,619 + phentolamine by the compound in response of SEC
P47898	CHEMBL15228	Inhibition of Arachidonic acid by the compound in response of SEC
P47898	CHEMBL14651	Stimulatory activity against serotonin secretion (SEC).
P47898	CHEMBL103549	Displacement of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor from pig cortex
P47898	CHEMBL14837	Stimulatory activity against serotonin secretion (SEC).
P47898	CHEMBL128	Displacement of [3H]8-OH-DPAT binding to 5-hydroxytryptamine 1A receptor from pig cortex
P50406	CHEMBL185958	Inhibitory concentration against human 5-hydroxytryptamine 6 receptor transfected in HeLa cells in cAMP assay
P50406	CHEMBL606815	Inhibition of 5-HT stimulated cAMP production in HeLa cells expressing human 5-hydroxytryptamine 6 receptor
P50406	CHEMBL193450	Inhibition of cAMP production in HeLa cells expressing human 5-HT6 receptor
P50406	CHEMBL14508	Stimulatory activity against serotonin secretion (SEC).
P50406	CHEMBL598850	Antagonist activity at human cloned 5HT6 receptor expressed in human HeLa cells assessed as intracellular cAMP formation by RIA
P50406	CHEMBL598851	Antagonist activity at human cloned 5HT6 receptor expressed in human HeLa cells assessed as intracellular cAMP formation by RIA
P50406	CHEMBL15228	Inhibition of U-46,619 by the compound in response of SEC
P50406	CHEMBL15228	Inhibition of ADP by the compound in response of SEC
P50406	CHEMBL15228	Inhibition of AA+phentolamine by the compound in response of SEC
P50406	CHEMBL1277564	Antagonist activity at human cloned 5HT6 receptor expressed in human HeLa cells by cyclase assay
P50406	CHEMBL1642877	Antagonist activity at cloned human 5-HT6 receptor expressed in human HeLa cells assessed as inhibition of 5HT-induced cyclic AMP formation
P34969	CHEMBL14508	Stimulatory activity against serotonin secretion (SEC).
P34969	CHEMBL261291	Inhibition of 5HT7 receptor by radioligand binding assay
P34969	CHEMBL261653	Inhibition of 5HT7 receptor by radioligand binding assay
P34969	CHEMBL411104	Inhibition of 5HT7 receptor by radioligand binding assay
P34969	CHEMBL493625	Displacement of [3H]LSD from human recombinant 5HT7 receptor expressed in CHO cell membrane
P34969	CHEMBL15228	Inhibition of U-46,619 by the compound in response of SEC
P34969	CHEMBL15228	Inhibition of ADP by the compound in response of SEC
P34969	CHEMBL15228	Inhibition of AA+phentolamine by the compound in response of SEC
P34969	CHEMBL81485	Binding affinity for human cloned 5-hydroxytryptamine 7 receptor
P34969	CHEMBL259626	Displacement of [3H]LSD from human recombinant 5HT7 receptor
P34969	CHEMBL511312	Displacement of [3H]LSD form human recombinant 5HT7 receptor
P08913	CHEMBL194173	Inhibitory activity against constitutively activated human Alpha-2A adrenergic receptor transiently expressed in COS-1 cells using [3H]MK-912
P08913	CHEMBL81485	Binding affinity for human cloned Alpha-2A adrenergic receptor
P08913	CHEMBL493	Alpha-2A adrenergic receptor radioligand binding (ligand: MK-912)
P08913	CHEMBL1909072	Alpha-2A adrenergic receptor radioligand binding (ligand: MK-912)
P08913	CHEMBL314107	Binding affinity for human cloned Alpha-2A adrenergic receptor
P08913	CHEMBL331077	Binding affinity against Alpha-2A adrenergic receptor
P08913	CHEMBL162370	Binding affinity at human Alpha-2A adrenergic receptor in CHO cells by [3H]rauwolscine (1 nM) displacement.
P08913	CHEMBL313189	Binding affinity for human cloned Alpha-2A adrenergic receptor
P08913	CHEMBL541105	Compound was tested for Adrenergic activity against Alpha-2 adrenergic receptor from rat aorta
P08913	CHEMBL367355	Inhibitory activity against alpha-2A adrenergic receptor by using [3H]MK-912 as radioligand expressed in COS-1 cells
P08913	CHEMBL162826	Binding affinity at human Alpha-2A adrenergic receptor in CHO cells by [3H]rauwolscine (1 nM) displacement.
P18089	CHEMBL165796	Binding affinity at human Alpha-2B adrenergic receptor in CHO cells by [3H]rauwolscine (1 nM) displacement.
P18089	CHEMBL493	Alpha-2B adrenergic receptor radioligand binding (ligand: Rauwolscine)
P18089	CHEMBL1909072	Alpha-2B adrenergic receptor radioligand binding (ligand: Rauwolscine)
P18089	CHEMBL541105	Compound was tested for Adrenergic activity against Alpha-2 adrenergic receptor from rat aorta
P18089	CHEMBL723	Alpha-2B adrenergic receptor radioligand binding (ligand: Rauwolscine)
P18089	CHEMBL1909065	Alpha-2B adrenergic receptor radioligand binding (ligand: Rauwolscine)
P18089	CHEMBL629	Alpha-2B adrenergic receptor radioligand binding (ligand: Rauwolscine)
P18089	CHEMBL554581	Compound was evaluated for Adrenergic activity against Alpha-2 adrenergic receptor in human platelets
P18089	CHEMBL15245	Alpha-2B adrenergic receptor radioligand binding (ligand: Rauwolscine)
P18089	CHEMBL6437	Alpha-2B adrenergic receptor radioligand binding (ligand: Rauwolscine)
P18089	CHEMBL726	Alpha-2B adrenergic receptor radioligand binding (ligand: Rauwolscine)
P42330	CHEMBL490979	Inhibition of human 17beta HSD5 in HEK cells
P42330	CHEMBL478280	Inhibition of human 17beta-HSD5 expressed in HEK293 cells assessed as enzyme-mediated transformation of [14C]-4-androstene-3,17-dione in to [14C]-testosterone after 18 hrs
P42330	CHEMBL478490	Inhibition of human 17beta-HSD5 expressed in HEK293 cells assessed as enzyme-mediated transformation of [14C]-4-androstene-3,17-dione in to [14C]-testosterone after 18 hrs
P42330	CHEMBL477677	Inhibition of human 17beta-HSD5 expressed in HEK293 cells assessed as enzyme-mediated transformation of [14C]-4-androstene-3,17-dione in to [14C]-testosterone after 18 hrs
P42330	CHEMBL514854	Inhibition of human 17beta-HSD5 expressed in HEK293 cells assessed as enzyme-mediated transformation of [14C]-4-androstene-3,17-dione in to [14C]-testosterone after 18 hrs
P42330	CHEMBL1682200	Inhibition of AKR1C3 by fluorimetric method
P42330	CHEMBL1682201	Inhibition of AKR1C3 by fluorimetric method
P42330	CHEMBL478491	Inhibition of human 17beta-HSD5 expressed in HEK293 cells assessed as enzyme-mediated transformation of [14C]-4-androstene-3,17-dione in to [14C]-testosterone after 18 hrs
P42330	CHEMBL477676	Inhibition of human 17beta-HSD5 expressed in HEK293 cells assessed as enzyme-mediated transformation of [14C]-4-androstene-3,17-dione in to [14C]-testosterone after 18 hrs
P42330	CHEMBL514995	Inhibition of human 17beta-HSD5 expressed in HEK293 cells assessed as enzyme-mediated transformation of [14C]-4-androstene-3,17-dione in to [14C]-testosterone after 18 hrs
P42330	CHEMBL521703	Inhibition of human 17beta HSD5 in HEK cells
P21397	CHEMBL497676	Inhibition of human recombinant MAOA expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as hydrogen peroxide production from p-tyramine by amplex red assay
P21397	CHEMBL386941	Inhibition of human recombinant MAOA expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as hydrogen peroxide production from p-tyramine by amplex red assay
P21397	CHEMBL122279	Inhibition of human monoamine oxidase (MAO A)
P21397	CHEMBL1243026	Inhibition of human recombinant MAOA expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as hydrogen peroxide production from p-tyramine by amplex red assay
P21397	CHEMBL1257341	Inhibition of MAOA by spectrophotometry
P21397	CHEMBL1258611	Inhibition of MAOA by spectrophotometry
P21397	CHEMBL123609	Inhibition of human monoamine oxidase (MAO A)
P21397	CHEMBL65252	Inhibition of human monoamine oxidase A
P21397	CHEMBL122239	Inhibitory potency against Monoamine oxidase A
P21397	CHEMBL1945155	Inhibition of recombinant human monoamine oxidase A expressed in insect microsomes using kynuramine as substrate after 20 mins by fluorescence spectrophotometry
P21397	CHEMBL1253925	Inhibition of human recombinant MAOA expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as hydrogen peroxide production from p-tyramine by amplex red assay
P27338	CHEMBL119017	Inhibitory potency against Monoamine oxidase B
P27338	CHEMBL17079	Inhibitory concentration against Monoamine oxidase B was measured in baboon liver.
P27338	CHEMBL470221	Inhibition of human recombinant MAOB expressed in BTI-TN-5B1-4 cells assessed as effect on H2O2 production from para-tyramine by fluorimetric method
P27338	CHEMBL1254763	Inhibition of human recombinant MAOB expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as hydrogen peroxide production from p-tyramine by amplex red assay
P27338	CHEMBL386941	Inhibition of human recombinant MAOB expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as hydrogen peroxide production from p-tyramine by amplex red assay
P27338	CHEMBL122279	Inhibition of human monoamine oxidase (MAO B)
P27338	CHEMBL127751	Inhibition of human supersomes MAOB
P27338	CHEMBL17092	Inhibitory concentration against Monoamine oxidase B was measured in baboon liver.
P27338	CHEMBL1235738	Inhibitory concentration towards in human monoamine oxidase B was measured
P27338	CHEMBL1243026	Inhibition of human recombinant MAOB expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as hydrogen peroxide production from p-tyramine by amplex red assay
P27338	CHEMBL1253925	Inhibition of human recombinant MAOB expressed in baculovirus infected BTI-TN-5B1-4 insect cells assessed as hydrogen peroxide production from p-tyramine by amplex red assay
P43405	CHEMBL485731	Inhibition of SYK-mediated FCepsilonRI signaling activity by mast cell degranulation assay
P43405	CHEMBL515757	Inhibition of human full-length recombinant 6His-SYK assessed as phosphorylation of Biotin-AAAEEIYGEI substrate after 60 mins by by TR-FRET assay
P43405	CHEMBL1834756	Inhibition of human full-length recombinant 6His-SYK assessed as phosphorylation of Biotin-AAAEEIYGEI substrate after 60 mins by by TR-FRET assay
P43405	CHEMBL1835057	Inhibition of human full-length recombinant 6His-SYK assessed as phosphorylation of Biotin-AAAEEIYGEI substrate after 60 mins by by TR-FRET assay
P43405	CHEMBL1835065	Inhibition of human full-length recombinant 6His-SYK assessed as phosphorylation of Biotin-AAAEEIYGEI substrate after 60 mins by by TR-FRET assay
P43405	CHEMBL1835069	Inhibition of human full-length recombinant 6His-SYK assessed as phosphorylation of Biotin-AAAEEIYGEI substrate after 60 mins by by TR-FRET assay
P43405	CHEMBL104279	Inhibitory activity against human Syk protein tyrosine kinase expressed in yeast Klyveromyces lactis
P43405	CHEMBL105427	Inhibitory activity against human Syk protein tyrosine kinase expressed in yeast Klyveromyces lactis
P43405	CHEMBL106095	Inhibitory activity against human Syk protein tyrosine kinase expressed in yeast Klyveromyces lactis
P43405	CHEMBL162	Inhibition of human Syk expressed in Sf9 cells
P43405	CHEMBL33466	Inhibition of recombinant Syk
Q12879	CHEMBL42146	Inhibition of [3H]DCKA binding to N-methyl-D-aspartate glutamate receptor
Q12879	CHEMBL41691	Inhibition of [3H]DCKA binding to N-methyl-D-aspartate glutamate receptor
Q12879	CHEMBL124873	Inhibition of [3H]Ro-256981 binding to N-methyl-D-aspartate glutamate receptor
Q12879	CHEMBL1791461	The compound was tested for the inhibitory activity against N-methyl-D-aspartate glutamate receptor from mid-frontal region of human brain by measuring spermine-enhanced [3H]- MK-801 binding
Q12879	CHEMBL42248	Inhibition of [3H]DCKA binding to N-methyl-D-aspartate glutamate receptor
Q12879	CHEMBL126929	Inhibition of [3H]Ro-256981 binding to N-methyl-D-aspartate glutamate receptor
Q12879	CHEMBL40652	Inhibition of [3H]DCKA binding to N-methyl-D-aspartate glutamate receptor
Q12879	CHEMBL182951	Inhibition of [3H]-Ro-25-6981 binding to NMDA receptor
Q12879	CHEMBL305195	Inhibition of [3H]-Ro-25-6981 binding to NMDA receptor
Q12879	CHEMBL12256	In vitro inhibitory activity at 1 uM concentration against N-methyl-D-aspartate glutamate receptor, using [3H]CGP-39653 binding assay
Q12879	CHEMBL197467	Mean inhibitory concentration against [3H]ifenprodil binding to porcine N-methyl-D-aspartate (NMDA) glutamate receptor; n=3
P51575	CHEMBL1160366	Platelet P2T receptor anatagonist activity in human platelet assay
P51575	CHEMBL1160359	Platelet P2T receptor anatagonist activity in human platelet assay
P51575	CHEMBL1160357	Platelet P2T receptor anatagonist activity in human platelet assay
P51575	CHEMBL1160356	Platelet P2T receptor anatagonist activity in human platelet assay
P51575	CHEMBL334966	Platelet P2T receptor anatagonist activity in human platelet assay
P51575	CHEMBL336292	Platelet P2T receptor anatagonist activity in human platelet assay
P51575	CHEMBL1160365	Platelet P2T receptor anatagonist activity in human platelet assay
P51575	CHEMBL599760	Antagonist activity at P2X1 receptor
P51575	CHEMBL1160360	Platelet P2T receptor anatagonist activity in human platelet assay
P51575	CHEMBL605325	Antagonist activity at P2X1 receptor
P51575	CHEMBL1160361	Platelet P2T receptor anatagonist activity in human platelet assay
Q01064	CHEMBL39285	Inhibition of calmodulin-dependent PDE(3',5'-phosphodiesterase)
Q01064	CHEMBL43232	Inhibition of calmodulin-dependent PDE(3',5'-phosphodiesterase)
Q01064	CHEMBL180994	Inhibition of phosphodiesterase 1
Q01064	CHEMBL181916	Inhibition of phosphodiesterase 1
