WellName;TotalCells;InfectedCells;InfectionIndex;RelativeInfectionIndex;Log2RelativeInfectionIndex;Log2RelativeCellNumber;ZScore;MAD;Images;OligoNumber;PlateNumber;ReplicaNumber;BatchNumber;GeneData;WellRow;WellCol;Constant;BigNumber;Zero;JustNaN;SomeNaN;SomeBlanks;TextAndNumbers;JustInf;SomeInf;Blanks;SmallNumbers
B16;4054;72;0.01776;0.51943;-0.945;0.109573;-0.704396;-1.357191;9;2;37;6;0;GNB1L;2;16;9;1.11E+15;0;NaN;-0.092084;1;54584;inf;-0.092084;1.117599964;-0.2839
B17;5164;77;0.014911;0.436096;-1.197281;0.458716;-0.901189;-1.719517;9;2;37;6;0;CES4;2;17;9;1.11E+15;0;NaN;0.47469;1;51716;inf;0.47469;0.783050001;1.4358
B18;5080;88;0.017323;0.506637;-0.980976;0.435055;-0.732459;-1.40886;9;2;37;6;0;SLC6A20;2;18;9;1.11E+15;0;NaN;0.52601;1;54716;inf;0.52601;1.163300037;0.54285
B19;3065;76;0.024796;0.725205;-0.463538;-0.293886;-0.328831;-0.665718;9;2;37;6;0;RAB8B;2;19;9;1.11E+15;0;NaN;0.53468;1;51762;inf;0.53468;0.255140007;-0.79773
B20;5860;787;0.1343;3.927852;1.97374;0.641128;1.572372;2.834696;9;2;37;6;0;ZRANB1;2;20;9;1.11E+15;0;NaN;-0.11655;1;54764;inf;-0.11655;1.51030004;0.20901
B21;2484;34;0.013688;0.400318;-1.320781;-0.597108;-0.997525;-1.896888;8;2;37;6;0;NUDT9;2;21;9;9.88E+14;0;NaN;-1.5206;0.99871999;53343;inf;-1.5206;1.711599946;-0.10714
B22;3777;3203;0.848028;24.80207;4.632389;0.007468;3.646256;6.65304;9;2;37;6;0;MPRG;2;22;9;1.11E+15;0;NaN;NaN;0.995329976;54852;inf;inf;0.958940029;0.7942
B23;5818;138;0.023719;0.693719;-0.527578;0.63075;-0.378785;-0.757691;9;2;37;6;0;Blank;2;23;9;1.11E+15;0;NaN;0.20007;;Blank;inf;0.20007;;-0.52492
B24;5355;169;0.031559;0.923007;-0.115586;0.511113;-0.057411;-0.165989;8;2;37;6;0;Blank;2;24;9;9.88E+14;0;NaN;2.4178;;Blank;inf;2.4178;;1.9112
C01;6397;5;0.000782;0.02286;-5.451046;0.767622;-4.219346;-7.828764;9;2;37;6;0;Blank;3;1;9;1.11E+15;0;NaN;-0.14377;;Blank;inf;-0.14377;;-0.73801
C02;6118;759;0.12406;3.628359;1.859317;0.703287;1.483116;2.670362;9;2;37;6;0;Blank;3;2;9;1.11E+15;0;NaN;NaN;;Blank;inf;inf;;0.18546
C03;3887;154;0.039619;1.158735;0.212551;0.048884;0.198553;0.30528;9;2;37;6;0;HSPC182;3;3;9;1.11E+15;0;NaN;0.97232;1;29101;inf;0.97232;0.893360019;-0.22079
C04;4695;168;0.035783;1.04653;0.065614;0.321352;0.083934;0.094249;9;2;37;6;0;COQ6;3;4;9;1.11E+15;0;NaN;NaN;0.0059102;51004;inf;inf;0.980000019;0.21235
C05;3208;28;0.008728;0.255271;-1.969898;-0.228099;-1.50387;-2.829148;9;2;37;6;0;RACGAP1;3;5;9;1.11E+15;0;NaN;NaN;0.038793001;29127;inf;inf;2.983999968;-0.24431
C06;3551;125;0.035201;1.029526;0.04198;-0.081548;0.065499;0.060307;9;2;37;6;0;SPG3A;3;6;9;1.11E+15;0;NaN;0.85497;1;51062;inf;0.85497;0.142780006;0.35754
C07;544;12;0.022059;0.645149;-0.632295;-2.788095;-0.46047;-0.908085;9;2;37;6;0;ANAPC2;3;7;9;1.11E+15;0;NaN;-0.99197;0.994090021;29882;inf;-0.99197;0.64734;-0.84672
C08;4323;115;0.026602;0.77802;-0.362121;0.20226;-0.249721;-0.520063;9;2;37;6;0;RDH11;3;8;9;1.11E+15;0;NaN;-0.65422;0.997979999;51109;inf;-0.65422;0.355850011;-1.1922
C09;4285;209;0.048775;1.426505;0.512485;0.189522;0.432517;0.736045;9;2;37;6;0;SCIRP10;3;9;9;1.11E+15;0;NaN;1.2018;1;29937;inf;1.2018;0.27553001;-0.3879
C10;2235;149;0.066667;1.949785;0.963315;-0.749498;0.784188;1.383525;9;2;37;6;0;HSD17B12;3;10;9;1.11E+15;0;NaN;-0.44398;1;51144;inf;-0.44398;0.659929991;0.34389
C11;5056;39;0.007714;0.225598;-2.148173;0.428223;-1.642934;-3.085186;8;2;37;6;0;UBQLN1;3;11;9;9.88E+14;0;NaN;NaN;0.100720003;29979;inf;inf;1.326699972;-1.8352
C12;3711;245;0.06602;1.93087;0.949251;-0.017965;0.773218;1.363327;9;2;37;6;0;TUBD1;3;12;9;1.11E+15;0;NaN;-1.7562;0.780350029;51174;inf;-1.7562;0.13707;-1.8028
C13;795;16;0.020126;0.588614;-0.764605;-2.240746;-0.563679;-1.09811;9;2;37;6;0;TBX21;3;13;9;1.11E+15;0;NaN;0.8054;1;30009;inf;0.8054;1.260100007;1.7673
C14;994;5;0.00503;0.147117;-2.764968;-1.918455;-2.124066;-3.971026;9;2;37;6;0;PLCE1;3;14;9;1.11E+15;0;NaN;-1.004;0.98864001;51196;inf;-1.004;0.815320015;-0.1971
C15;3488;73;0.020929;0.612103;-0.708154;-0.107373;-0.519645;-1.017034;9;2;37;6;0;CD209;3;15;9;1.11E+15;0;NaN;1.2825;0.996209979;30835;inf;1.2825;1.956900001;1.3785
C16;3561;72;0.020219;0.591342;-0.757936;-0.077491;-0.558477;-1.088531;9;2;37;6;0;MARCH-II;3;16;9;1.11E+15;0;NaN;0.56893;1;51257;inf;0.56893;1.23360002;0.22274
C17;4939;153;0.030978;0.906005;-0.14241;0.394446;-0.078335;-0.204514;9;2;37;6;0;PLA2G3;3;17;9;1.11E+15;0;NaN;-0.61262;1;50487;inf;-0.61262;1.4921;0.19397
C18;3585;131;0.036541;1.068711;0.095871;-0.0678;0.107537;0.137705;9;2;37;6;0;GMIP;3;18;9;1.11E+15;0;NaN;1.2971;0.535090029;51291;inf;1.2971;1.16929996;2.0982
C19;5894;226;0.038344;1.121441;0.165353;0.649474;0.161737;0.237495;9;2;37;6;0;ITSN2;3;19;9;1.11E+15;0;NaN;0.76364;0.359479994;50618;inf;0.76364;1.289000034;0.47153
C20;3786;366;0.096672;2.827343;1.499447;0.010901;1.202399;2.153517;9;2;37;6;0;TLR8;3;20;9;1.11E+15;0;NaN;-0.51738;1;51311;inf;-0.51738;1.334300041;-0.30404
C21;4333;153;0.03531;1.032716;0.046443;0.205593;0.06898;0.066716;9;2;37;6;0;F11R;3;21;9;1.11E+15;0;NaN;1.8736;0.999090016;50848;inf;1.8736;1.11740005;1.1256
C22;6120;49;0.008007;0.234165;-2.0944;0.703759;-1.600989;-3.007958;9;2;37;6;0;FZR1;3;22;9;1.11E+15;0;NaN;-0.55886;0.99022001;51343;inf;-0.55886;0.36552;0.57792
C23;2397;68;0.028369;0.829696;-0.269346;-0.648543;-0.177351;-0.386819;9;2;37;6;0;Blank;3;23;9;1.11E+15;0;NaN;1.2696;;Blank;inf;1.2696;;1.3599
C24;5460;118;0.021612;0.632073;-0.661837;0.539128;-0.483514;-0.950513;9;2;37;6;0;Blank;3;24;9;1.11E+15;0;NaN;0.23931;;Blank;inf;0.23931;;0.37745
D01;5609;8;0.001426;0.041714;-4.583322;0.57797;-3.542477;-6.582541;9;2;37;6;0;Blank;4;1;9;1.11E+15;0;NaN;0.3575;;Blank;inf;0.3575;;1.3761
D02;6006;104;0.017316;0.506438;-0.981543;0.676631;-0.732902;-1.409675;9;2;37;6;0;Blank;4;2;9;1.11E+15;0;NaN;-2.5834;;Blank;inf;-2.5834;;-0.50238
D03;3137;140;0.044629;1.305243;0.384319;-0.260388;0.332541;0.551973;9;2;37;6;0;ANGPT4;4;3;9;1.11E+15;0;NaN;NaN;0.994449973;51378;inf;inf;0.412930012;-1.4283
D04;1584;46;0.02904;0.849338;-0.235589;-1.246201;-0.151019;-0.338338;9;2;37;6;0;IL20RA;4;4;9;1.11E+15;0;NaN;-1.2625;1;53832;inf;-1.2625;0.291729987;-0.5758
D05;2433;109;0.044801;1.310275;0.389869;-0.627037;0.336871;0.559944;9;2;37;6;0;DDX41;4;5;9;1.11E+15;0;NaN;NaN;1;51428;inf;inf;2.344099998;-1.5782
D06;5040;126;0.025;0.731169;-0.451722;0.423651;-0.319615;-0.648748;9;2;37;6;0;PELO;4;6;9;1.11E+15;0;NaN;-1.646;0.999469995;53918;inf;-1.646;1.183500051;-1.6621
D07;2295;15;0.006536;0.191155;-2.387182;-0.711279;-1.829373;-3.42845;9;2;37;6;0;ISYNA1;4;7;9;1.11E+15;0;NaN;NaN;1;51477;inf;inf;1.530400038;-0.64622
D08;4224;198;0.046875;1.370943;0.455168;0.168837;0.387807;0.653726;9;2;37;6;0;KCNK10;4;8;9;1.11E+15;0;NaN;-0.020268;1;54207;inf;-0.020268;1.312399983;-0.88926
D09;3326;210;0.063139;1.846609;0.884879;-0.175985;0.723004;1.270875;9;2;37;6;0;LARS;4;9;9;1.11E+15;0;NaN;0.19918;0.999289989;51520;inf;0.19918;0.626070023;0.82142
D10;3422;94;0.027469;0.803389;-0.31583;-0.134933;-0.213611;-0.453579;9;2;37;6;0;NLGN3;4;10;9;1.11E+15;0;NaN;1.328;1;54413;inf;1.328;1.257699966;2.1192
D11;1924;32;0.016632;0.486433;-1.039687;-0.965664;-0.778258;-1.493182;9;2;37;6;0;IL23A;4;11;9;1.11E+15;0;NaN;0.28253;1;51561;inf;0.28253;1.365399957;1.3176
D12;4575;214;0.046776;1.368046;0.452117;0.283999;0.385427;0.649344;9;2;37;6;0;TOLLIP;4;12;9;1.11E+15;0;NaN;-0.057026;0.077858999;54472;inf;-0.057026;1.835800052;-1.104
D13;1256;10;0.007962;0.232856;-2.102487;-1.580937;-1.607296;-3.019572;9;2;37;6;0;HMP19;4;13;9;1.11E+15;0;NaN;NaN;0.990649998;51617;inf;inf;1.260800004;-2.7705
D14;2263;43;0.019001;0.555727;-0.847551;-0.731537;-0.628381;-1.217235;9;2;37;6;0;NS3TP1;4;14;9;1.11E+15;0;NaN;0.37682;1;54529;inf;0.37682;1.349400043;0.14826
D15;3826;122;0.031887;0.932594;-0.100678;0.026064;-0.045782;-0.144579;9;2;37;6;0;NYREN18;4;15;9;1.11E+15;0;NaN;NaN;0.997839987;51667;inf;inf;1.811800003;1.7057
D16;5901;230;0.038976;1.139935;0.188952;0.651186;0.180145;0.271387;9;2;37;6;0;UGT1A9;4;16;9;1.11E+15;0;NaN;-0.66943;0.997099996;54600;inf;-0.66943;0.430330008;0.36073
D17;4495;170;0.03782;1.106107;0.145491;0.258548;0.146243;0.208969;9;2;37;6;0;RAP80;4;17;9;1.11E+15;0;NaN;0.39614;1;51720;inf;0.39614;0.606369972;0.69217
D18;1687;68;0.040308;1.178886;0.237424;-1.155313;0.217956;0.341003;9;2;37;6;0;BTN2A3;4;18;9;1.11E+15;0;NaN;-0.22429;0.999159992;54718;inf;-0.22429;1.924600005;-1.6395
D19;4172;113;0.027085;0.792159;-0.336139;0.150966;-0.229453;-0.482747;9;2;37;6;0;GNG13;4;19;9;1.11E+15;0;NaN;-1.6022;1;51764;inf;-1.6022;0.77591002;-0.20148
D20;4157;318;0.076497;2.237304;1.161762;0.14577;0.938987;1.668534;9;2;37;6;0;RNF111;4;20;9;1.11E+15;0;NaN;NaN;1;54778;inf;inf;0.644309998;-0.67922
D21;2984;46;0.015416;0.450855;-1.149264;-0.332526;-0.863733;-1.650556;9;2;37;6;0;UBASH3A;4;21;9;1.11E+15;0;NaN;NaN;0.998059988;53347;inf;inf;0.828010023;-1.1439
D22;3140;181;0.057643;1.685881;0.753503;-0.259009;0.620524;1.082193;9;2;37;6;0;PGPEP1;4;22;9;1.11E+15;0;NaN;NaN;1;54858;inf;inf;0.570909977;-0.51731
D23;5406;105;0.019423;0.568056;-0.815895;0.524788;-0.603688;-1.171771;9;2;37;6;0;Blank;4;23;9;1.11E+15;0;NaN;-0.017793;;Blank;inf;-0.017793;;-0.92501
D24;6656;93;0.013972;0.408646;-1.291075;0.824882;-0.974353;-1.854224;9;2;37;6;0;Blank;4;24;9;1.11E+15;0;NaN;0.77148;;Blank;inf;0.77148;;0.52807
E01;5395;60;0.011121;0.325265;-1.620311;0.52185;-1.231174;-2.327072;9;2;37;6;0;Blank;5;1;9;1.11E+15;0;NaN;NaN;;Blank;inf;inf;;-1.1907
E02;5313;203;0.038208;1.117466;0.160231;0.499754;0.157741;0.230138;9;2;37;6;0;Blank;5;2;9;1.11E+15;0;NaN;0.58049;;Blank;inf;0.58049;;1.0311
E03;4058;127;0.031296;0.915313;-0.127663;0.110996;-0.066831;-0.183334;9;2;37;6;0;C21orf127;5;3;9;1.11E+15;0;NaN;1.7293;0.999459982;29104;inf;1.7293;0.600870013;1.4872
E04;2584;50;0.01935;0.565921;-0.821329;-0.540167;-0.607926;-1.179575;9;2;37;6;0;SLC35C2;5;4;9;1.11E+15;0;NaN;NaN;1;51006;inf;inf;2.806699991;-0.65665
E05;4183;348;0.083194;2.433153;1.282827;0.154765;1.033424;1.842408;8;2;37;6;0;UHRF1;5;5;9;9.88E+14;0;NaN;-2.0718;1;29128;inf;-2.0718;1.740100026;-1.0744
E06;3102;375;0.12089;3.535635;1.821969;-0.276574;1.453983;2.616723;9;2;37;6;0;CGI-04;5;6;9;1.11E+15;0;NaN;-0.55676;1;51067;inf;-0.55676;1.730800033;0.2761
E07;1680;38;0.022619;0.661534;-0.596112;-1.161312;-0.432246;-0.85612;9;2;37;6;0;HUMGT198A;5;7;9;1.11E+15;0;NaN;0.36396;0.347950011;29893;inf;0.36396;1.19780004;0.41717
E08;3762;104;0.027645;0.808523;-0.306639;0.001727;-0.206442;-0.440379;9;2;37;6;0;SUV420H1;5;8;9;1.11E+15;0;NaN;-1.599;1;51111;inf;-1.599;0.640959978;-0.91553
E09;1534;35;0.022816;0.667299;-0.583594;-1.292475;-0.422481;-0.838142;9;2;37;6;0;ANAPC4;5;9;9;1.11E+15;0;NaN;0.45374;1;29945;inf;0.45374;0.696739972;0.68132
E10;2455;38;0.015479;0.4527;-1.143374;-0.61405;-0.859139;-1.642096;9;2;37;6;0;ING4;5;10;9;1.11E+15;0;NaN;-0.13134;1;51147;inf;-0.13134;0.460170001;-0.47301
E11;2894;178;0.061507;1.798869;0.84709;-0.376708;0.693526;1.216603;9;2;37;6;0;NRBF2;5;11;9;1.11E+15;0;NaN;0.23553;0.997020006;29982;inf;0.23553;0.957430005;1.9162
E12;2582;75;0.029047;0.849538;-0.235249;-0.541284;-0.150754;-0.337849;9;2;37;6;0;TUBE1;5;12;9;1.11E+15;0;NaN;NaN;1;51175;inf;inf;0.836350024;-0.65207
E13;5572;128;0.022972;0.671857;-0.573774;0.568422;-0.414821;-0.824038;9;2;37;6;0;SLC40A1;5;13;9;1.11E+15;0;NaN;1.0739;0.999379992;30061;inf;1.0739;0.531729996;0.52562
E14;4696;96;0.020443;0.59789;-0.742049;0.321659;-0.546084;-1.065713;9;2;37;6;0;CPA4;5;14;9;1.11E+15;0;NaN;-0.58307;0.99703002;51200;inf;-0.58307;0.284539998;0.54959
E15;2712;52;0.019174;0.560779;-0.834496;-0.470416;-0.618198;-1.198486;9;2;37;6;0;ERBP;5;15;9;1.11E+15;0;NaN;NaN;1;30836;inf;inf;2.614200115;-0.015319
E16;5183;258;0.049778;1.455849;0.541861;0.464014;0.455432;0.778235;9;2;37;6;0;CLEC2;5;16;9;1.11E+15;0;NaN;1.4701;1;51266;inf;1.4701;0.850510001;1.0897
E17;5125;210;0.040976;1.198404;0.261115;0.447779;0.236436;0.375027;9;2;37;6;0;CD207;5;17;9;1.11E+15;0;NaN;-0.30205;1;50489;inf;-0.30205;2.642800093;-1.0953
E18;4243;220;0.05185;1.516448;0.600696;0.175312;0.501327;0.862733;9;2;37;6;0;GMPR2;5;18;9;1.11E+15;0;NaN;0.66492;1;51292;inf;0.66492;3.144799948;-0.36161
E19;5076;733;0.144405;4.223382;2.078399;0.433919;1.654011;2.985006;9;2;37;6;0;DEF6;5;19;9;1.11E+15;0;NaN;NaN;1;50619;inf;inf;2.193099976;-0.80028
E20;5129;299;0.058296;1.704969;0.769745;0.448904;0.633194;1.105521;9;2;37;6;0;TXNDC3;5;20;9;1.11E+15;0;NaN;0.88289;1;51314;inf;0.88289;0.87401998;-0.49448
E21;5119;230;0.044931;1.314077;0.394049;0.446089;0.340131;0.565948;9;2;37;6;0;TCRIM;5;21;9;1.11E+15;0;NaN;NaN;0.998409986;50852;inf;inf;1.756700039;1.3299
E22;3174;85;0.02678;0.783231;-0.35249;-0.243471;-0.242208;-0.50623;9;2;37;6;0;WIT-1;5;22;9;1.11E+15;0;NaN;NaN;1;51352;inf;inf;0.469339997;0.39623
E23;5502;112;0.020356;0.595354;-0.74818;0.550183;-0.550867;-1.074519;9;2;37;6;0;Blank;5;23;9;1.11E+15;0;NaN;NaN;;Blank;inf;inf;;0.094854
E24;5791;89;0.015369;0.449484;-1.153658;0.624039;-0.86716;-1.656865;8;2;37;6;0;Blank;5;24;9;9.88E+14;0;NaN;NaN;;Blank;inf;inf;;-0.98851
F01;5702;9;0.001578;0.046163;-4.437122;0.601695;-3.428433;-6.372568;9;2;37;6;0;Blank;6;1;9;1.11E+15;0;NaN;-0.43864;;Blank;inf;-0.43864;;0.55153
F02;5922;224;0.037825;1.106261;0.145692;0.656311;0.1464;0.209257;9;2;37;6;0;Blank;6;2;9;1.11E+15;0;NaN;0.5717;;Blank;inf;0.5717;;-0.023164
F03;3594;210;0.058431;1.70891;0.773076;-0.064183;0.635792;1.110305;8;2;37;6;0;CRLF3;6;3;9;9.88E+14;0;NaN;-4.4332;1;51379;inf;-4.4332;0.543299973;-2.3452
F04;6125;239;0.03902;1.141221;0.190578;0.704937;0.181413;0.273723;9;2;37;6;0;FGFRL1;6;4;9;1.11E+15;0;NaN;2.0838;1;53834;inf;2.0838;0.499669999;2.4272
F05;2383;29;0.01217;0.35592;-1.490377;-0.656994;-1.129819;-2.14046;9;2;37;6;0;SNX9;6;5;9;1.11E+15;0;NaN;-2.0546;0.997990012;51429;inf;-2.0546;0.547169983;-1.696
F06;3754;325;0.086574;2.53202;1.340289;-0.001344;1.078247;1.924934;9;2;37;6;0;A4GALT;6;6;9;1.11E+15;0;NaN;1.6955;1;53947;inf;1.6955;0.948939979;1.5953
F07;1637;21;0.012828;0.375188;-1.414316;-1.198719;-1.070487;-2.031222;9;2;37;6;0;ISYNA1;6;7;9;1.11E+15;0;NaN;-1.1037;0.998049974;51477;inf;-1.1037;0.289130002;-0.11867
F08;4132;43;0.010407;0.304359;-1.716154;0.137067;-1.305937;-2.464721;9;2;37;6;0;TREM2;6;8;9;1.11E+15;0;NaN;-1.8348;1;54209;inf;-1.8348;0.641690016;-1.2068
F09;851;120;0.141011;4.124104;2.044081;-2.142542;1.627241;2.935719;9;2;37;6;0;ANAPC11;6;9;9;1.11E+15;0;NaN;-1.3192;0.998350024;51529;inf;-1.3192;1.028900027;-0.38941
F10;4118;194;0.04711;1.377823;0.46239;0.132171;0.393441;0.664099;9;2;37;6;0;DNAJC10;6;10;9;1.11E+15;0;NaN;-0.27319;1;54431;inf;-0.27319;0.189789996;0.74857
