WellName;TotalCells;InfectedCells;InfectionIndex;RelativeInfectionIndex;Log2RelativeInfectionIndex;Log2RelativeCellNumber;ZScore;MAD;Images;OligoNumber;PlateNumber;ReplicaNumber;BatchNumber;GeneData;GeneID;WellRow;WellCol;Path;ImageIndices;RawImages;BigNumber;Zero
B06;3388;110;0.032468;0.949571;-0.074653;-0.149339;-0.025481;-0.107201;9;2;37;6;0;RAB24;53917;2;6; ; ;9;1.11E+15;0
B07;5754;101;0.017553;0.513369;-0.961932;0.614792;-0.717605;-1.38151;9;2;37;6;0;EVL;51466;2;7; ; ;9;1.11E+15;0
B08;4214;192;0.045562;1.332554;0.414194;0.165417;0.355845;0.594879;9;2;37;6;0;CYCS;54205;2;8; ; ;9;1.11E+15;0
B09;4883;183;0.037477;1.09608;0.132353;0.377995;0.135995;0.1901;9;2;37;6;0;RAMP;51514;2;9; ; ;9;1.11E+15;0
B10;3192;166;0.052005;1.520979;0.605;-0.235312;0.504684;0.868915;9;2;37;6;0;SLC38A2;54407;2;10; ; ;9;1.11E+15;0
B11;1553;41;0.026401;0.77213;-0.373085;-1.274715;-0.258273;-0.535808;9;2;37;6;0;RAB6B;51560;2;11; ; ;9;1.11E+15;0
B12;4599;76;0.016525;0.483313;-1.048971;0.291547;-0.7855;-1.506515;9;2;37;6;0;ANKIB1;54467;2;12; ; ;9;1.11E+15;0
B13;5869;84;0.014312;0.418594;-1.256376;0.643342;-0.947286;-1.804389;9;2;37;6;0;KIAA0859;51603;2;13; ; ;9;1.11E+15;0
B14;1349;13;0.009637;0.281844;-1.827029;-1.477883;-1.392425;-2.62396;9;2;37;6;0;PCDH18;54510;2;14; ; ;9;1.11E+15;0
B15;3081;118;0.038299;1.12013;0.163666;-0.286374;0.16042;0.235071;9;2;37;6;0;ASB4;51666;2;15; ; ;9;1.11E+15;0
B16;4054;72;0.01776;0.51943;-0.945;0.109573;-0.704396;-1.357191;9;2;37;6;0;GNB1L;54584;2;16; ; ;9;1.11E+15;0
B17;5164;77;0.014911;0.436096;-1.197281;0.458716;-0.901189;-1.719517;9;2;37;6;0;CES4;51716;2;17; ; ;9;1.11E+15;0
B18;5080;88;0.017323;0.506637;-0.980976;0.435055;-0.732459;-1.40886;9;2;37;6;0;SLC6A20;54716;2;18; ; ;9;1.11E+15;0
B19;3065;76;0.024796;0.725205;-0.463538;-0.293886;-0.328831;-0.665718;9;2;37;6;0;RAB8B;51762;2;19; ; ;9;1.11E+15;0
B20;5860;787;0.1343;3.927852;1.97374;0.641128;1.572372;2.834696;9;2;37;6;0;ZRANB1;54764;2;20; ; ;9;1.11E+15;0
B21;2484;34;0.013688;0.400318;-1.320781;-0.597108;-0.997525;-1.896888;8;2;37;6;0;NUDT9;53343;2;21; ; ;9;9.88E+14;0
B22;3777;3203;0.848028;24.80207;4.632389;0.007468;3.646256;6.65304;9;2;37;6;0;MPRG;54852;2;22; ; ;9;1.11E+15;0
B23;5818;138;0.023719;0.693719;-0.527578;0.63075;-0.378785;-0.757691;9;2;37;6;0;Blank;Blank;2;23; ; ;9;1.11E+15;0
B24;5355;169;0.031559;0.923007;-0.115586;0.511113;-0.057411;-0.165989;8;2;37;6;0;Blank;Blank;2;24; ; ;9;9.88E+14;0
C01;6397;5;0.000782;0.02286;-5.451046;0.767622;-4.219346;-7.828764;9;2;37;6;0;Blank;Blank;3;1; ; ;9;1.11E+15;0
C02;6118;759;0.12406;3.628359;1.859317;0.703287;1.483116;2.670362;9;2;37;6;0;Blank;Blank;3;2; ; ;9;1.11E+15;0
C03;3887;154;0.039619;1.158735;0.212551;0.048884;0.198553;0.30528;9;2;37;6;0;HSPC182;29101;3;3; ; ;9;1.11E+15;0
C04;4695;168;0.035783;1.04653;0.065614;0.321352;0.083934;0.094249;9;2;37;6;0;COQ6;51004;3;4; ; ;9;1.11E+15;0
C05;3208;28;0.008728;0.255271;-1.969898;-0.228099;-1.50387;-2.829148;9;2;37;6;0;RACGAP1;29127;3;5; ; ;9;1.11E+15;0
C06;3551;125;0.035201;1.029526;0.04198;-0.081548;0.065499;0.060307;9;2;37;6;0;SPG3A;51062;3;6; ; ;9;1.11E+15;0
C07;544;12;0.022059;0.645149;-0.632295;-2.788095;-0.46047;-0.908085;9;2;37;6;0;ANAPC2;29882;3;7; ; ;9;1.11E+15;0
C08;4323;115;0.026602;0.77802;-0.362121;0.20226;-0.249721;-0.520063;9;2;37;6;0;RDH11;51109;3;8; ; ;9;1.11E+15;0
C09;4285;209;0.048775;1.426505;0.512485;0.189522;0.432517;0.736045;9;2;37;6;0;SCIRP10;29937;3;9; ; ;9;1.11E+15;0
C10;2235;149;0.066667;1.949785;0.963315;-0.749498;0.784188;1.383525;9;2;37;6;0;HSD17B12;51144;3;10; ; ;9;1.11E+15;0
C11;5056;39;0.007714;0.225598;-2.148173;0.428223;-1.642934;-3.085186;8;2;37;6;0;UBQLN1;29979;3;11; ; ;9;9.88E+14;0
C12;3711;245;0.06602;1.93087;0.949251;-0.017965;0.773218;1.363327;9;2;37;6;0;TUBD1;51174;3;12; ; ;9;1.11E+15;0
C13;795;16;0.020126;0.588614;-0.764605;-2.240746;-0.563679;-1.09811;9;2;37;6;0;TBX21;30009;3;13; ; ;9;1.11E+15;0
C14;994;5;0.00503;0.147117;-2.764968;-1.918455;-2.124066;-3.971026;9;2;37;6;0;PLCE1;51196;3;14; ; ;9;1.11E+15;0
C15;3488;73;0.020929;0.612103;-0.708154;-0.107373;-0.519645;-1.017034;9;2;37;6;0;CD209;30835;3;15; ; ;9;1.11E+15;0
C16;3561;72;0.020219;0.591342;-0.757936;-0.077491;-0.558477;-1.088531;9;2;37;6;0;MARCH-II;51257;3;16; ; ;9;1.11E+15;0
C17;4939;153;0.030978;0.906005;-0.14241;0.394446;-0.078335;-0.204514;9;2;37;6;0;PLA2G3;50487;3;17; ; ;9;1.11E+15;0
C18;3585;131;0.036541;1.068711;0.095871;-0.0678;0.107537;0.137705;9;2;37;6;0;GMIP;51291;3;18; ; ;9;1.11E+15;0
C19;5894;226;0.038344;1.121441;0.165353;0.649474;0.161737;0.237495;9;2;37;6;0;ITSN2;50618;3;19; ; ;9;1.11E+15;0
C20;3786;366;0.096672;2.827343;1.499447;0.010901;1.202399;2.153517;9;2;37;6;0;TLR8;51311;3;20; ; ;9;1.11E+15;0
C21;4333;153;0.03531;1.032716;0.046443;0.205593;0.06898;0.066716;9;2;37;6;0;F11R;50848;3;21; ; ;9;1.11E+15;0
C22;6120;49;0.008007;0.234165;-2.0944;0.703759;-1.600989;-3.007958;9;2;37;6;0;FZR1;51343;3;22; ; ;9;1.11E+15;0
C23;2397;68;0.028369;0.829696;-0.269346;-0.648543;-0.177351;-0.386819;9;2;37;6;0;Blank;Blank;3;23; ; ;9;1.11E+15;0
C24;5460;118;0.021612;0.632073;-0.661837;0.539128;-0.483514;-0.950513;9;2;37;6;0;Blank;Blank;3;24; ; ;9;1.11E+15;0
D01;5609;8;0.001426;0.041714;-4.583322;0.57797;-3.542477;-6.582541;9;2;37;6;0;Blank;Blank;4;1; ; ;9;1.11E+15;0
D02;6006;104;0.017316;0.506438;-0.981543;0.676631;-0.732902;-1.409675;9;2;37;6;0;Blank;Blank;4;2; ; ;9;1.11E+15;0
D03;3137;140;0.044629;1.305243;0.384319;-0.260388;0.332541;0.551973;9;2;37;6;0;ANGPT4;51378;4;3; ; ;9;1.11E+15;0
D04;1584;46;0.02904;0.849338;-0.235589;-1.246201;-0.151019;-0.338338;9;2;37;6;0;IL20RA;53832;4;4; ; ;9;1.11E+15;0
D05;2433;109;0.044801;1.310275;0.389869;-0.627037;0.336871;0.559944;9;2;37;6;0;DDX41;51428;4;5; ; ;9;1.11E+15;0
D06;5040;126;0.025;0.731169;-0.451722;0.423651;-0.319615;-0.648748;9;2;37;6;0;PELO;53918;4;6; ; ;9;1.11E+15;0
D07;2295;15;0.006536;0.191155;-2.387182;-0.711279;-1.829373;-3.42845;9;2;37;6;0;ISYNA1;51477;4;7; ; ;9;1.11E+15;0
D08;4224;198;0.046875;1.370943;0.455168;0.168837;0.387807;0.653726;9;2;37;6;0;KCNK10;54207;4;8; ; ;9;1.11E+15;0
D09;3326;210;0.063139;1.846609;0.884879;-0.175985;0.723004;1.270875;9;2;37;6;0;LARS;51520;4;9; ; ;9;1.11E+15;0
D10;3422;94;0.027469;0.803389;-0.31583;-0.134933;-0.213611;-0.453579;9;2;37;6;0;NLGN3;54413;4;10; ; ;9;1.11E+15;0
D11;1924;32;0.016632;0.486433;-1.039687;-0.965664;-0.778258;-1.493182;9;2;37;6;0;IL23A;51561;4;11; ; ;9;1.11E+15;0
D12;4575;214;0.046776;1.368046;0.452117;0.283999;0.385427;0.649344;9;2;37;6;0;TOLLIP;54472;4;12; ; ;9;1.11E+15;0
D13;1256;10;0.007962;0.232856;-2.102487;-1.580937;-1.607296;-3.019572;9;2;37;6;0;HMP19;51617;4;13; ; ;9;1.11E+15;0
D14;2263;43;0.019001;0.555727;-0.847551;-0.731537;-0.628381;-1.217235;9;2;37;6;0;NS3TP1;54529;4;14; ; ;9;1.11E+15;0
D15;3826;122;0.031887;0.932594;-0.100678;0.026064;-0.045782;-0.144579;9;2;37;6;0;NYREN18;51667;4;15; ; ;9;1.11E+15;0
D16;5901;230;0.038976;1.139935;0.188952;0.651186;0.180145;0.271387;9;2;37;6;0;UGT1A9;54600;4;16; ; ;9;1.11E+15;0
D17;4495;170;0.03782;1.106107;0.145491;0.258548;0.146243;0.208969;9;2;37;6;0;RAP80;51720;4;17; ; ;9;1.11E+15;0
D18;1687;68;0.040308;1.178886;0.237424;-1.155313;0.217956;0.341003;9;2;37;6;0;BTN2A3;54718;4;18; ; ;9;1.11E+15;0
D19;4172;113;0.027085;0.792159;-0.336139;0.150966;-0.229453;-0.482747;9;2;37;6;0;GNG13;51764;4;19; ; ;9;1.11E+15;0
D20;4157;318;0.076497;2.237304;1.161762;0.14577;0.938987;1.668534;9;2;37;6;0;RNF111;54778;4;20; ; ;9;1.11E+15;0
D21;2984;46;0.015416;0.450855;-1.149264;-0.332526;-0.863733;-1.650556;9;2;37;6;0;UBASH3A;53347;4;21; ; ;9;1.11E+15;0
D22;3140;181;0.057643;1.685881;0.753503;-0.259009;0.620524;1.082193;9;2;37;6;0;PGPEP1;54858;4;22; ; ;9;1.11E+15;0
D23;5406;105;0.019423;0.568056;-0.815895;0.524788;-0.603688;-1.171771;9;2;37;6;0;Blank;Blank;4;23; ; ;9;1.11E+15;0
D24;6656;93;0.013972;0.408646;-1.291075;0.824882;-0.974353;-1.854224;9;2;37;6;0;Blank;Blank;4;24; ; ;9;1.11E+15;0
E01;5395;60;0.011121;0.325265;-1.620311;0.52185;-1.231174;-2.327072;9;2;37;6;0;Blank;Blank;5;1; ; ;9;1.11E+15;0
E02;5313;203;0.038208;1.117466;0.160231;0.499754;0.157741;0.230138;9;2;37;6;0;Blank;Blank;5;2; ; ;9;1.11E+15;0
E03;4058;127;0.031296;0.915313;-0.127663;0.110996;-0.066831;-0.183334;9;2;37;6;0;C21orf127;29104;5;3; ; ;9;1.11E+15;0
E04;2584;50;0.01935;0.565921;-0.821329;-0.540167;-0.607926;-1.179575;9;2;37;6;0;SLC35C2;51006;5;4; ; ;9;1.11E+15;0
E05;4183;348;0.083194;2.433153;1.282827;0.154765;1.033424;1.842408;8;2;37;6;0;UHRF1;29128;5;5; ; ;9;9.88E+14;0
E06;3102;375;0.12089;3.535635;1.821969;-0.276574;1.453983;2.616723;9;2;37;6;0;CGI-04;51067;5;6; ; ;9;1.11E+15;0
E07;1680;38;0.022619;0.661534;-0.596112;-1.161312;-0.432246;-0.85612;9;2;37;6;0;HUMGT198A;29893;5;7; ; ;9;1.11E+15;0
E08;3762;104;0.027645;0.808523;-0.306639;0.001727;-0.206442;-0.440379;9;2;37;6;0;SUV420H1;51111;5;8; ; ;9;1.11E+15;0
E09;1534;35;0.022816;0.667299;-0.583594;-1.292475;-0.422481;-0.838142;9;2;37;6;0;ANAPC4;29945;5;9; ; ;9;1.11E+15;0
E10;2455;38;0.015479;0.4527;-1.143374;-0.61405;-0.859139;-1.642096;9;2;37;6;0;ING4;51147;5;10; ; ;9;1.11E+15;0
E11;2894;178;0.061507;1.798869;0.84709;-0.376708;0.693526;1.216603;9;2;37;6;0;NRBF2;29982;5;11; ; ;9;1.11E+15;0
E12;2582;75;0.029047;0.849538;-0.235249;-0.541284;-0.150754;-0.337849;9;2;37;6;0;TUBE1;51175;5;12; ; ;9;1.11E+15;0
E13;5572;128;0.022972;0.671857;-0.573774;0.568422;-0.414821;-0.824038;9;2;37;6;0;SLC40A1;30061;5;13; ; ;9;1.11E+15;0
E14;4696;96;0.020443;0.59789;-0.742049;0.321659;-0.546084;-1.065713;9;2;37;6;0;CPA4;51200;5;14; ; ;9;1.11E+15;0
E15;2712;52;0.019174;0.560779;-0.834496;-0.470416;-0.618198;-1.198486;9;2;37;6;0;ERBP;30836;5;15; ; ;9;1.11E+15;0
E16;5183;258;0.049778;1.455849;0.541861;0.464014;0.455432;0.778235;9;2;37;6;0;CLEC2;51266;5;16; ; ;9;1.11E+15;0
E17;5125;210;0.040976;1.198404;0.261115;0.447779;0.236436;0.375027;9;2;37;6;0;CD207;50489;5;17; ; ;9;1.11E+15;0
E18;4243;220;0.05185;1.516448;0.600696;0.175312;0.501327;0.862733;9;2;37;6;0;GMPR2;51292;5;18; ; ;9;1.11E+15;0
E19;5076;733;0.144405;4.223382;2.078399;0.433919;1.654011;2.985006;9;2;37;6;0;DEF6;50619;5;19; ; ;9;1.11E+15;0
E20;5129;299;0.058296;1.704969;0.769745;0.448904;0.633194;1.105521;9;2;37;6;0;TXNDC3;51314;5;20; ; ;9;1.11E+15;0
E21;5119;230;0.044931;1.314077;0.394049;0.446089;0.340131;0.565948;9;2;37;6;0;TCRIM;50852;5;21; ; ;9;1.11E+15;0
E22;3174;85;0.02678;0.783231;-0.35249;-0.243471;-0.242208;-0.50623;9;2;37;6;0;WIT-1;51352;5;22; ; ;9;1.11E+15;0
E23;5502;112;0.020356;0.595354;-0.74818;0.550183;-0.550867;-1.074519;9;2;37;6;0;Blank;Blank;5;23; ; ;9;1.11E+15;0
E24;5791;89;0.015369;0.449484;-1.153658;0.624039;-0.86716;-1.656865;8;2;37;6;0;Blank;Blank;5;24; ; ;9;9.88E+14;0
F01;5702;9;0.001578;0.046163;-4.437122;0.601695;-3.428433;-6.372568;9;2;37;6;0;Blank;Blank;6;1; ; ;9;1.11E+15;0
F02;5922;224;0.037825;1.106261;0.145692;0.656311;0.1464;0.209257;9;2;37;6;0;Blank;Blank;6;2; ; ;9;1.11E+15;0
F03;3594;210;0.058431;1.70891;0.773076;-0.064183;0.635792;1.110305;8;2;37;6;0;CRLF3;51379;6;3; ; ;9;9.88E+14;0
F04;6125;239;0.03902;1.141221;0.190578;0.704937;0.181413;0.273723;9;2;37;6;0;FGFRL1;53834;6;4; ; ;9;1.11E+15;0
F05;2383;29;0.01217;0.35592;-1.490377;-0.656994;-1.129819;-2.14046;9;2;37;6;0;SNX9;51429;6;5; ; ;9;1.11E+15;0
F06;3754;325;0.086574;2.53202;1.340289;-0.001344;1.078247;1.924934;9;2;37;6;0;A4GALT;53947;6;6; ; ;9;1.11E+15;0
F07;1637;21;0.012828;0.375188;-1.414316;-1.198719;-1.070487;-2.031222;9;2;37;6;0;ISYNA1;51477;6;7; ; ;9;1.11E+15;0
F08;4132;43;0.010407;0.304359;-1.716154;0.137067;-1.305937;-2.464721;9;2;37;6;0;TREM2;54209;6;8; ; ;9;1.11E+15;0
F09;851;120;0.141011;4.124104;2.044081;-2.142542;1.627241;2.935719;9;2;37;6;0;ANAPC11;51529;6;9; ; ;9;1.11E+15;0
F10;4118;194;0.04711;1.377823;0.46239;0.132171;0.393441;0.664099;9;2;37;6;0;DNAJC10;54431;6;10; ; ;9;1.11E+15;0
F11;5808;143;0.024621;0.720091;-0.473749;0.628268;-0.336796;-0.680382;9;2;37;6;0;HDAC7A;51564;6;11; ; ;9;1.11E+15;0
F12;3977;86;0.021624;0.632442;-0.660994;0.081907;-0.482858;-0.949304;9;2;37;6;0;FLJ10458;54475;6;12; ; ;9;1.11E+15;0
F13;5011;275;0.054879;1.605041;0.682611;0.415325;0.565224;0.980379;9;2;37;6;0;KLF13;51621;6;13; ; ;9;1.11E+15;0
F14;2877;47;0.016336;0.477789;-1.065555;-0.385208;-0.798436;-1.530333;9;2;37;6;0;ROBO4;54538;6;14; ; ;9;1.11E+15;0
F15;3321;292;0.087925;2.571532;1.362628;-0.178155;1.095673;1.957018;9;2;37;6;0;ASB2;51676;6;15; ; ;9;1.11E+15;0
F16;4736;242;0.051098;1.494451;0.579615;0.333896;0.484883;0.832457;9;2;37;6;0;FBXL19;54620;6;16; ; ;9;1.11E+15;0
F17;4589;221;0.048159;1.408485;0.494144;0.288407;0.41821;0.709703;9;2;37;6;0;FBXO40;51725;6;17; ; ;9;1.11E+15;0
F18;5514;104;0.018861;0.551626;-0.858238;0.553326;-0.636718;-1.232585;9;2;37;6;0;RAB39;54734;6;18; ; ;9;1.11E+15;0
F19;2894;92;0.03179;0.929752;-0.105082;-0.376708;-0.049217;-0.150903;9;2;37;6;0;HBXAP;51773;6;19; ; ;9;1.11E+15;0
F20;4830;460;0.095238;2.785407;1.477888;0.36225;1.185582;2.122554;9;2;37;6;0;TRPM4;54795;6;20; ; ;9;1.11E+15;0
F21;2973;50;0.016818;0.491873;-1.023642;-0.337854;-0.765741;-1.470137;9;2;37;6;0;LRP1B;53353;6;21; ; ;9;1.11E+15;0
F22;4892;217;0.044358;1.297332;0.375548;0.380651;0.325699;0.539376;9;2;37;6;0;MS4A12;54860;6;22; ; ;9;1.11E+15;0
F23;6858;114;0.016623;0.486167;-1.040477;0.868015;-0.778873;-1.494315;9;2;37;6;0;Blank;Blank;6;23; ; ;9;1.11E+15;0
F24;6345;111;0.017494;0.511646;-0.966783;0.755847;-0.721388;-1.388476;9;2;37;6;0;Blank;Blank;6;24; ; ;9;1.11E+15;0
G01;1985;2;0.001008;0.029468;-5.084718;-0.920634;-3.933591;-7.302644;9;2;37;6;0;Blank;Blank;7;1; ; ;9;1.11E+15;0
G02;5243;61;0.011635;0.340273;-1.555234;0.480619;-1.180411;-2.233608;9;2;37;6;0;Blank;Blank;7;2; ; ;9;1.11E+15;0
G03;3485;745;0.213773;6.25218;2.644359;-0.108614;2.09549;3.797837;9;2;37;6;0;SCG3;29106;7;3; ; ;9;1.11E+15;0
G04;1548;2;0.001292;0.037787;-4.725984;-1.279368;-3.65376;-6.787432;9;2;37;6;0;ELA2B;51032;7;4; ; ;9;1.11E+15;0
G05;2809;143;0.050908;1.488889;0.574236;-0.419716;0.480686;0.824731;9;2;37;6;0;BLNK;29760;7;5; ; ;9;1.11E+15;0
G06;4190;215;0.051313;1.500729;0.585664;0.157177;0.489601;0.841144;9;2;37;6;0;DERA;51071;7;6; ; ;9;1.11E+15;0
G07;2574;179;0.069542;2.033867;1.024225;-0.545761;0.831701;1.471004;9;2;37;6;0;GPSM2;29899;7;7; ; ;9;1.11E+15;0
G08;2243;39;0.017387;0.508526;-0.975606;-0.744343;-0.728271;-1.401148;9;2;37;6;0;TRIM17;51127;7;8; ; ;9;1.11E+15;0
G09;2443;49;0.020057;0.586612;-0.769523;-0.621119;-0.567515;-1.105172;9;2;37;6;0;DNMT3L;29947;7;9; ; ;9;1.11E+15;0
G10;3503;234;0.0668;1.953681;0.966195;-0.101182;0.786435;1.387662;9;2;37;6;0;MATP;51151;7;10; ; ;9;1.11E+15;0
G11;3761;55;0.014624;0.427698;-1.225335;0.001343;-0.923073;-1.759809;9;2;37;6;0;PILRB;29990;7;11; ; ;9;1.11E+15;0
G12;2740;151;0.055109;1.611775;0.68865;-0.455597;0.569935;0.989053;9;2;37;6;0;LEF1;51176;7;12; ; ;9;1.11E+15;0
G13;2320;14;0.006034;0.176489;-2.502349;-0.695648;-1.919209;-3.593852;9;2;37;6;0;RAX;30062;7;13; ; ;9;1.11E+15;0
G14;4197;82;0.019538;0.571417;-0.807385;0.159585;-0.59705;-1.15955;9;2;37;6;0;GP6;51206;7;14; ; ;9;1.11E+15;0
G15;4390;279;0.063554;1.858736;0.894322;0.224448;0.73037;1.284437;9;2;37;6;0;SOCS7;30837;7;15; ; ;9;1.11E+15;0
G16;3151;269;0.08537;2.496789;1.320074;-0.253963;1.062479;1.895902;9;2;37;6;0;CLEC1;51267;7;16; ; ;9;1.11E+15;0
G17;4988;131;0.026263;0.768109;-0.380617;0.408688;-0.264149;-0.546627;9;2;37;6;0;DUOX2;50506;7;17; ; ;9;1.11E+15;0
G18;4125;271;0.065697;1.921424;0.942176;0.134621;0.767699;1.353166;9;2;37;6;0;CYP39A1;51302;7;18; ; ;9;1.11E+15;0
G19;2568;36;0.014019;0.410002;-1.286299;-0.549128;-0.970627;-1.847364;9;2;37;6;0;GEMIN4;50628;7;19; ; ;9;1.11E+15;0
G20;3679;69;0.018755;0.548526;-0.866368;-0.030459;-0.643059;-1.244261;9;2;37;6;0;BHC80;51317;7;20; ; ;9;1.11E+15;0
G21;3032;57;0.018799;0.549824;-0.862958;-0.309503;-0.6404;-1.239364;9;2;37;6;0;PARD6A;50855;7;21; ; ;9;1.11E+15;0
G22;3730;120;0.032172;0.940915;-0.087864;-0.010597;-0.035786;-0.126175;9;2;37;6;0;MBTPS2;51360;7;22; ; ;9;1.11E+15;0
G23;5186;51;0.009834;0.287618;-1.797776;0.464849;-1.369606;-2.581946;9;2;37;6;0;Blank;Blank;7;23; ; ;9;1.11E+15;0
G24;2627;12;0.004568;0.133598;-2.904032;-0.516357;-2.232543;-4.170749;9;2;37;6;0;Blank;Blank;7;24; ; ;9;1.11E+15;0
H01;16067;18;0.00112;0.032765;-4.931682;2.096256;-3.814215;-7.082855;9;2;37;6;0;Blank;Blank;8;1; ; ;9;1.11E+15;0
H02;13721;1;0.000073;0.002132;-8.873892;1.868541;-6.889344;-12.744647;9;2;37;6;0;Blank;Blank;8;2; ; ;9;1.11E+15;0
H03;2686;71;0.026433;0.77309;-0.371291;-0.484314;-0.256874;-0.533232;9;2;37;6;0;CSAD;51380;8;3; ; ;9;1.11E+15;0
H04;3565;210;0.058906;1.722811;0.784765;-0.075871;0.64491;1.127092;9;2;37;6;0;C11orf24;53838;8;4; ; ;9;1.11E+15;0
H05;1734;115;0.066321;1.939665;0.955807;-1.115669;0.778332;1.372743;9;2;37;6;0;ANAPC5;51433;8;5; ; ;9;1.11E+15;0
H06;2957;547;0.184985;5.410208;2.435684;-0.345639;1.932712;3.498138;9;2;37;6;0;FAM3B;54097;8;6; ; ;9;1.11E+15;0
H07;4688;316;0.067406;1.971412;0.979229;0.319199;0.796602;1.406382;9;2;37;6;0;HSD17B7;51478;8;7; ; ;9;1.11E+15;0
H08;4040;933;0.230941;6.754267;2.755799;0.104582;2.182419;3.957887;8;2;37;6;0;TREM1;54210;8;8; ; ;9;9.88E+14;0
