Data Set Code;Plate Identifier;Row;Column;Gene_ID;Well_ID;Score;HitRate;CellNumber;PotentialOOF
20100824131256301-79295;DEMO:/TEST/H174-3C;B;4;10012;44033;0.929120004;0.929120004;2682;1
20100824131256301-79295;DEMO:/TEST/H174-3C;B;5;10013;42193;1.124500036;1.124500036;1492;1
20100824131256301-79295;DEMO:/TEST/H174-3C;B;6;10014;17751;0.704270005;0.704270005;543;1
20100824131256301-79295;DEMO:/TEST/H174-3C;B;7;10015;11535;0.801389992;0.801389992;2817;0.998939991
20100824131256301-79295;DEMO:/TEST/H174-3C;B;8;10016;44196;0.221870005;0.221870005;278;0.996420026
20100824131256301-79295;DEMO:/TEST/H174-3C;B;9;10017;4866;0.810259998;0.810259998;1218;1
20100824131256301-79295;DEMO:/TEST/H174-3C;B;10;10018;6751;1.834300041;1.834300041;1873;1
20100824131256301-79295;DEMO:/TEST/H174-3C;B;11;10019;19634;0.87875998;0.87875998;1839;1
20100824131256301-79295;DEMO:/TEST/H174-3C;B;12;10020;11258;1.129799962;1.129799962;404;0.995069981
20100824131256301-79295;DEMO:/TEST/H174-3C;B;13;10021;6471;0.500689983;0.500689983;579;1
20100824131256301-79295;DEMO:/TEST/H174-3C;B;14;10022;22290;0.896269977;0.896269977;1865;1
20100824131256301-79295;DEMO:/TEST/H174-3C;B;15;10023;17920;1.072399974;1.072399974;857;0.995350003
20100824131256301-79295;DEMO:/TEST/H174-3C;B;16;10024;37797;1.117599964;1.117599964;2627;1
20100824131256301-79295;DEMO:/TEST/H174-3C;B;17;10025;28157;0.783050001;0.783050001;1985;1
20100824131256301-79295;DEMO:/TEST/H174-3C;B;18;10026;19686;1.163300037;1.163300037;2105;1
20100824131256301-79295;DEMO:/TEST/H174-3C;B;19;10027;40403;0.255140007;0.255140007;967;1
20100824131256301-79295;DEMO:/TEST/H174-3C;B;20;10028;591;1.51030004;1.51030004;1168;1
20100824131256301-79295;DEMO:/TEST/H174-3C;B;21;10029;47395;1.711599946;1.711599946;782;0.99871999
20100824131256301-79295;DEMO:/TEST/H174-3C;B;22;10030;45408;0.958940029;0.958940029;1280;0.995329976
20100824131256301-79295;DEMO:/TEST/H174-3C;B;23;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;B;24;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;C;1;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;C;2;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;C;3;10035;15480;0.893360019;0.893360019;1733;1
20100824131256301-79295;DEMO:/TEST/H174-3C;C;4;10036;33331;0.980000019;0;5;0.0059102
20100824131256301-79295;DEMO:/TEST/H174-3C;C;5;10037;672;2.983999968;2.055999994;18;0.038793001
20100824131256301-79295;DEMO:/TEST/H174-3C;C;6;10038;43804;0.142780006;0.142780006;432;1
20100824131256301-79295;DEMO:/TEST/H174-3C;C;7;10039;27024;0.64734;0.64734;505;0.994090021
20100824131256301-79295;DEMO:/TEST/H174-3C;C;8;10040;18736;0.355850011;0.355850011;988;0.997979999
20100824131256301-79295;DEMO:/TEST/H174-3C;C;9;10041;28761;0.27553001;0.27553001;985;1
20100824131256301-79295;DEMO:/TEST/H174-3C;C;10;10042;16288;0.659929991;0.659929991;1888;1
20100824131256301-79295;DEMO:/TEST/H174-3C;C;11;10043;5406;1.326699972;0.550719976;56;0.100720003
20100824131256301-79295;DEMO:/TEST/H174-3C;C;12;10044;30743;0.13707;0.13707;270;0.780350029
20100824131256301-79295;DEMO:/TEST/H174-3C;C;13;10045;197;1.260100007;1.260100007;465;1
20100824131256301-79295;DEMO:/TEST/H174-3C;C;14;10046;45117;0.815320015;0.815320015;348;0.98864001
20100824131256301-79295;DEMO:/TEST/H174-3C;C;15;10047;28617;1.956900001;1.956900001;788;0.996209979
20100824131256301-79295;DEMO:/TEST/H174-3C;C;16;10048;32680;1.23360002;1.23360002;825;1
20100824131256301-79295;DEMO:/TEST/H174-3C;C;17;10049;20741;1.4921;1.4921;988;1
20100824131256301-79295;DEMO:/TEST/H174-3C;C;18;10050;4427;1.16929996;0.657249987;122;0.535090029
20100824131256301-79295;DEMO:/TEST/H174-3C;C;19;10051;2119;1.289000034;0.728959978;110;0.359479994
20100824131256301-79295;DEMO:/TEST/H174-3C;C;20;10052;45079;1.334300041;1.334300041;490;1
20100824131256301-79295;DEMO:/TEST/H174-3C;C;21;10053;10510;1.11740005;1.11740005;1093;0.999090016
20100824131256301-79295;DEMO:/TEST/H174-3C;C;22;10054;26255;0.36552;0.36552;405;0.99022001
20100824131256301-79295;DEMO:/TEST/H174-3C;C;23;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;C;24;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;D;1;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;D;2;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;D;3;10059;898;0.412930012;0.412930012;717;0.994449973
20100824131256301-79295;DEMO:/TEST/H174-3C;D;4;10060;829;0.291729987;0.291729987;1036;1
20100824131256301-79295;DEMO:/TEST/H174-3C;D;5;10061;33332;2.344099998;2.344099998;1242;1
20100824131256301-79295;DEMO:/TEST/H174-3C;D;6;10062;11644;1.183500051;1.183500051;1897;0.999469995
20100824131256301-79295;DEMO:/TEST/H174-3C;D;7;10063;33905;1.530400038;1.530400038;931;1
20100824131256301-79295;DEMO:/TEST/H174-3C;D;8;10064;47118;1.312399983;1.312399983;2444;1
20100824131256301-79295;DEMO:/TEST/H174-3C;D;9;10065;49994;0.626070023;0.626070023;1399;0.999289989
20100824131256301-79295;DEMO:/TEST/H174-3C;D;10;10066;20824;1.257699966;1.257699966;358;1
20100824131256301-79295;DEMO:/TEST/H174-3C;D;11;10067;43464;1.365399957;1.365399957;1929;1
20100824131256301-79295;DEMO:/TEST/H174-3C;D;12;10068;28629;1.835800052;0.963760018;32;0.077858999
20100824131256301-79295;DEMO:/TEST/H174-3C;D;13;10069;20596;1.260800004;1.260800004;318;0.990649998
20100824131256301-79295;DEMO:/TEST/H174-3C;D;14;10070;1194;1.349400043;1.349400043;1225;1
20100824131256301-79295;DEMO:/TEST/H174-3C;D;15;10071;19450;1.811800003;1.811800003;463;0.997839987
20100824131256301-79295;DEMO:/TEST/H174-3C;D;16;10072;35947;0.430330008;0.430330008;1032;0.997099996
20100824131256301-79295;DEMO:/TEST/H174-3C;D;17;10073;8770;0.606369972;0.606369972;2187;1
20100824131256301-79295;DEMO:/TEST/H174-3C;D;18;10074;48174;1.924600005;1.924600005;1189;0.999159992
20100824131256301-79295;DEMO:/TEST/H174-3C;D;19;10075;41338;0.77591002;0.77591002;1574;1
20100824131256301-79295;DEMO:/TEST/H174-3C;D;20;10076;22966;0.644309998;0.644309998;1570;1
20100824131256301-79295;DEMO:/TEST/H174-3C;D;21;10077;18675;0.828010023;0.828010023;514;0.998059988
20100824131256301-79295;DEMO:/TEST/H174-3C;D;22;10078;46868;0.570909977;0.570909977;1653;1
20100824131256301-79295;DEMO:/TEST/H174-3C;D;23;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;D;24;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;E;1;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;E;2;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;E;3;10083;44886;0.600870013;0.600870013;1858;0.999459982
20100824131256301-79295;DEMO:/TEST/H174-3C;E;4;10084;6023;2.806699991;2.806699991;367;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;5;10085;25647;1.740100026;1.740100026;397;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;6;10086;19212;1.730800033;1.730800033;727;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;7;10087;47417;1.19780004;0.673820019;119;0.347950011
20100824131256301-79295;DEMO:/TEST/H174-3C;E;8;10088;18304;0.640959978;0.640959978;1328;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;9;10089;10947;0.696739972;0.696739972;2045;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;10;10090;37466;0.460170001;0.460170001;2024;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;11;10091;28615;0.957430005;0.957430005;670;0.997020006
20100824131256301-79295;DEMO:/TEST/H174-3C;E;12;10092;39292;0.836350024;0.836350024;354;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;13;10093;33597;0.531729996;0.531729996;1624;0.999379992
20100824131256301-79295;DEMO:/TEST/H174-3C;E;14;10094;4169;0.284539998;0.284539998;672;0.99703002
20100824131256301-79295;DEMO:/TEST/H174-3C;E;15;10095;39378;2.614200115;2.614200115;722;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;16;10096;26285;0.850510001;0.850510001;1639;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;17;10097;46066;2.642800093;2.558799982;229;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;18;10098;21358;3.144799948;3.144799948;508;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;19;10099;17198;2.193099976;2.193099976;360;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;20;10100;30035;0.87401998;0.87401998;741;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;21;10101;37369;1.756700039;1.756700039;1257;0.998409986
20100824131256301-79295;DEMO:/TEST/H174-3C;E;22;10102;19739;0.469339997;0.469339997;2037;1
20100824131256301-79295;DEMO:/TEST/H174-3C;E;23;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;E;24;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;F;1;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;F;2;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;F;3;10107;14191;0.543299973;0.543299973;772;1
20100824131256301-79295;DEMO:/TEST/H174-3C;F;4;10108;34135;0.499669999;0.499669999;1864;1
20100824131256301-79295;DEMO:/TEST/H174-3C;F;5;10109;32873;0.547169983;0.547169983;496;0.997990012
20100824131256301-79295;DEMO:/TEST/H174-3C;F;6;10110;18098;0.948939979;0.948939979;1482;1
20100824131256301-79295;DEMO:/TEST/H174-3C;F;7;10111;1692;0.289130002;0.289130002;512;0.998049974
20100824131256301-79295;DEMO:/TEST/H174-3C;F;8;10112;25984;0.641690016;0.641690016;942;1
20100824131256301-79295;DEMO:/TEST/H174-3C;F;9;10113;35889;1.028900027;1.028900027;1211;0.998350024
20100824131256301-79295;DEMO:/TEST/H174-3C;F;10;10114;17885;0.189789996;0.189789996;1040;1
20100824131256301-79295;DEMO:/TEST/H174-3C;F;11;10115;34983;0.775070012;0.775070012;1329;1
20100824131256301-79295;DEMO:/TEST/H174-3C;F;12;10116;28427;0.455119997;0.455119997;1030;1
20100824131256301-79295;DEMO:/TEST/H174-3C;F;13;10117;12518;1.399399996;1.399399996;811;0.998769999
20100824131256301-79295;DEMO:/TEST/H174-3C;F;14;10118;20818;0.716350019;0.716350019;663;1
20100824131256301-79295;DEMO:/TEST/H174-3C;F;15;10119;22426;0.809769988;0.809769988;2049;0.998539984
20100824131256301-79295;DEMO:/TEST/H174-3C;F;16;10120;36472;3.227999926;3.227999926;407;0.997550011
20100824131256301-79295;DEMO:/TEST/H174-3C;F;17;10121;19401;0.625060022;0.625060022;1046;1
20100824131256301-79295;DEMO:/TEST/H174-3C;F;18;10122;14656;0.324640006;0.324640006;589;1
20100824131256301-79295;DEMO:/TEST/H174-3C;F;19;10123;23707;1.279399991;1.279399991;781;1
20100824131256301-79295;DEMO:/TEST/H174-3C;F;20;10124;27177;0.569660008;0.569660008;628;0.988979995
20100824131256301-79295;DEMO:/TEST/H174-3C;F;21;10125;33635;0.808470011;0.808470011;2655;0.99962002
20100824131256301-79295;DEMO:/TEST/H174-3C;F;22;10126;39049;2.178200006;2.178200006;858;1
20100824131256301-79295;DEMO:/TEST/H174-3C;F;23;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;F;24;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;G;1;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;G;2;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;G;3;10131;17208;0.728850007;0.728850007;1024;1
20100824131256301-79295;DEMO:/TEST/H174-3C;G;4;10132;23319;1.194399953;1.194399953;1477;1
20100824131256301-79295;DEMO:/TEST/H174-3C;G;5;10133;47441;0.60352999;0.60352999;511;0.988390028
20100824131256301-79295;DEMO:/TEST/H174-3C;G;6;10134;39375;0.889689982;0.889689982;2066;1
20100824131256301-79295;DEMO:/TEST/H174-3C;G;7;10135;27685;0.922429979;0.922429979;555;0.998199999
20100824131256301-79295;DEMO:/TEST/H174-3C;G;8;10136;3416;0.673979998;0.673979998;1025;1
20100824131256301-79295;DEMO:/TEST/H174-3C;G;9;10137;30857;0.799570024;0.799570024;702;1
20100824131256301-79295;DEMO:/TEST/H174-3C;G;10;10138;38162;0.719460011;0.719460011;2049;0.99901998
20100824131256301-79295;DEMO:/TEST/H174-3C;G;11;10139;43669;2.380300045;1.48029995;25;0.046815999
20100824131256301-79295;DEMO:/TEST/H174-3C;G;12;10140;19753;0.21006;0.21006;323;1
20100824131256301-79295;DEMO:/TEST/H174-3C;G;13;10141;8560;1.046900034;1.046900034;925;0.998920023
20100824131256301-79295;DEMO:/TEST/H174-3C;G;14;10142;43491;0.965610027;0.965610027;626;1
20100824131256301-79295;DEMO:/TEST/H174-3C;G;15;10143;5847;0.940050006;0.940050006;1975;1
20100824131256301-79295;DEMO:/TEST/H174-3C;G;16;10144;31953;1.063500047;1.063500047;493;1
20100824131256301-79295;DEMO:/TEST/H174-3C;G;17;10145;34317;2.798599958;2.018599987;55;0.161290005
20100824131256301-79295;DEMO:/TEST/H174-3C;G;18;10146;30432;1.555099964;1.555099964;353;0.997179985
20100824131256301-79295;DEMO:/TEST/H174-3C;G;19;10147;8943;0.239439994;0.239439994;644;0.998449981
20100824131256301-79295;DEMO:/TEST/H174-3C;G;20;10148;5489;0.518190026;0.518190026;738;1
20100824131256301-79295;DEMO:/TEST/H174-3C;G;21;10149;17523;0.391570002;0.391570002;1654;0.99940002
20100824131256301-79295;DEMO:/TEST/H174-3C;G;22;10150;47105;1.061499953;1.061499953;645;1
20100824131256301-79295;DEMO:/TEST/H174-3C;G;23;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;G;24;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;H;1;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;H;2;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;H;3;10155;43240;1.116400003;1.116400003;884;1
20100824131256301-79295;DEMO:/TEST/H174-3C;H;4;10156;11467;1.243100047;1.243100047;650;1
20100824131256301-79295;DEMO:/TEST/H174-3C;H;5;10157;17322;2.389100075;1.657099962;67;0.272359997
20100824131256301-79295;DEMO:/TEST/H174-3C;H;6;10158;19643;0.807900012;0.807900012;2466;0.99958998
20100824131256301-79295;DEMO:/TEST/H174-3C;H;7;10159;36139;2.724999905;2.724999905;335;0.997020006
20100824131256301-79295;DEMO:/TEST/H174-3C;H;8;10160;8519;2.284699917;2.284699917;926;0.993560016
20100824131256301-79295;DEMO:/TEST/H174-3C;H;9;10161;45693;0.421979994;0.421979994;687;0.998549998
20100824131256301-79295;DEMO:/TEST/H174-3C;H;10;10162;27426;0.807590008;0.807590008;527;1
20100824131256301-79295;DEMO:/TEST/H174-3C;H;11;10163;15209;0.952600002;0.952600002;259;0.599539995
20100824131256301-79295;DEMO:/TEST/H174-3C;H;12;10164;7117;0.584779978;0.584779978;443;0.997749984
20100824131256301-79295;DEMO:/TEST/H174-3C;H;13;10165;18889;2.265399933;1.665400028;100;0.588240027
20100824131256301-79295;DEMO:/TEST/H174-3C;H;14;10166;13043;1.219400048;1.219400048;2347;1
20100824131256301-79295;DEMO:/TEST/H174-3C;H;15;10167;32435;0.62650001;0.62650001;1782;1
20100824131256301-79295;DEMO:/TEST/H174-3C;H;16;10168;37268;0.590820014;0.590820014;1994;1
20100824131256301-79295;DEMO:/TEST/H174-3C;H;17;10169;4927;0.576539993;0.576539993;1455;1
20100824131256301-79295;DEMO:/TEST/H174-3C;H;18;10170;24375;1.366799951;0.818769991;113;0.386990011
20100824131256301-79295;DEMO:/TEST/H174-3C;H;19;10171;23167;1.363999963;1.363999963;1022;1
20100824131256301-79295;DEMO:/TEST/H174-3C;H;20;10172;44226;2.836899996;2.836899996;287;0.982879996
20100824131256301-79295;DEMO:/TEST/H174-3C;H;21;10173;31679;1.862599969;1.862599969;1424;0.999300003
20100824131256301-79295;DEMO:/TEST/H174-3C;H;22;10174;40891;0.156450003;0.156450003;1301;1
20100824131256301-79295;DEMO:/TEST/H174-3C;H;23;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;H;24;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;I;1;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;I;2;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;I;3;10179;1030;0.482419997;0.482419997;358;1
20100824131256301-79295;DEMO:/TEST/H174-3C;I;4;10180;11764;0.605589986;0.605589986;1650;1
20100824131256301-79295;DEMO:/TEST/H174-3C;I;5;10181;39964;0.625940025;0.625940025;473;0.997889996
20100824131256301-79295;DEMO:/TEST/H174-3C;I;6;10182;42172;1.009899974;1.009899974;1136;1
20100824131256301-79295;DEMO:/TEST/H174-3C;I;7;10183;48524;0.295610011;0.295610011;1085;0.997240007
20100824131256301-79295;DEMO:/TEST/H174-3C;I;8;10184;41624;0.987299979;0.987299979;1818;1
20100824131256301-79295;DEMO:/TEST/H174-3C;I;9;10185;33362;0.90662998;0.90662998;2041;1
20100824131256301-79295;DEMO:/TEST/H174-3C;I;10;10186;11699;1.469200015;1.469200015;974;1
20100824131256301-79295;DEMO:/TEST/H174-3C;I;11;10187;21935;1.238199949;1.238199949;807;1
20100824131256301-79295;DEMO:/TEST/H174-3C;I;12;10188;18738;0.326700002;0.326700002;472;1
20100824131256301-79295;DEMO:/TEST/H174-3C;I;13;10189;49632;2.511899948;2.511899948;1105;1
20100824131256301-79295;DEMO:/TEST/H174-3C;I;14;10190;35467;0.835219979;0.607219994;193;1
20100824131256301-79295;DEMO:/TEST/H174-3C;I;15;10191;36372;0.544619977;0.544619977;974;0.998969972
20100824131256301-79295;DEMO:/TEST/H174-3C;I;16;10192;41566;1.181599975;0.377640009;49;0.153610006
20100824131256301-79295;DEMO:/TEST/H174-3C;I;17;10193;19213;0.995999992;0;1;0.0049261
20100824131256301-79295;DEMO:/TEST/H174-3C;I;18;10194;7734;3.966099977;3.626100063;165;0.816829979
20100824131256301-79295;DEMO:/TEST/H174-3C;I;19;10195;40998;0.190669999;0.190669999;1391;1
20100824131256301-79295;DEMO:/TEST/H174-3C;I;20;10196;19108;0.995999992;0;1;0.0061728
20100824131256301-79295;DEMO:/TEST/H174-3C;I;21;10197;5939;0.828670025;0.828670025;789;1
20100824131256301-79295;DEMO:/TEST/H174-3C;I;22;10198;7711;2.044199944;2.044199944;347;1
20100824131256301-79295;DEMO:/TEST/H174-3C;I;23;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;I;24;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;J;1;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;J;2;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;J;3;10203;28743;1.103600025;1.103600025;1822;1
20100824131256301-79295;DEMO:/TEST/H174-3C;J;4;10204;9552;2.642999887;2.479000092;209;0.981220007
20100824131256301-79295;DEMO:/TEST/H174-3C;J;5;10205;3877;1.113499999;1.113499999;1335;1
20100824131256301-79295;DEMO:/TEST/H174-3C;J;6;10206;22589;0.798690021;0.798690021;2340;1
20100824131256301-79295;DEMO:/TEST/H174-3C;J;7;10207;44800;0.615849972;0.615849972;641;1
20100824131256301-79295;DEMO:/TEST/H174-3C;J;8;10208;5282;0.827530026;0.827530026;723;0.998619974
20100824131256301-79295;DEMO:/TEST/H174-3C;J;9;10209;15862;0.824509978;0.824509978;980;1
20100824131256301-79295;DEMO:/TEST/H174-3C;J;10;10210;45003;0.625750005;0.625750005;483;1
20100824131256301-79295;DEMO:/TEST/H174-3C;J;11;10211;18859;1.811800003;1.455800056;161;0.498450011
20100824131256301-79295;DEMO:/TEST/H174-3C;J;12;10212;38004;1.077600002;0.313630015;59;0.172509998
20100824131256301-79295;DEMO:/TEST/H174-3C;J;13;10213;45867;1.57099998;1.57099998;852;0.99883002
20100824131256301-79295;DEMO:/TEST/H174-3C;J;14;10214;34220;0.540889978;0.540889978;1950;0.998459995
20100824131256301-79295;DEMO:/TEST/H174-3C;J;15;10215;30622;0.821839988;0.821839988;1441;1
20100824131256301-79295;DEMO:/TEST/H174-3C;J;16;10216;44586;1.080600023;1.080600023;2289;1
20100824131256301-79295;DEMO:/TEST/H174-3C;J;17;10217;33961;0.551100016;0.551100016;1164;1
20100824131256301-79295;DEMO:/TEST/H174-3C;J;18;10218;34403;1;0;0;0
20100824131256301-79295;DEMO:/TEST/H174-3C;J;19;10219;6238;3.816099882;3.816099882;792;1
20100824131256301-79295;DEMO:/TEST/H174-3C;J;20;10220;498;0.871179998;0.871179998;1678;1
20100824131256301-79295;DEMO:/TEST/H174-3C;J;21;10221;10029;0.880699992;0.880699992;1947;1
20100824131256301-79295;DEMO:/TEST/H174-3C;J;22;10222;21853;0.431769997;0.431769997;300;1
20100824131256301-79295;DEMO:/TEST/H174-3C;J;23;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;J;24;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;K;1;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;K;2;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;K;3;10227;2894;0.800880015;0.516879976;179;0.566460013
20100824131256301-79295;DEMO:/TEST/H174-3C;K;4;10228;5281;0.575500011;0.575500011;2165;1
20100824131256301-79295;DEMO:/TEST/H174-3C;K;5;10229;30923;0.123719998;0.123719998;349;1
20100824131256301-79295;DEMO:/TEST/H174-3C;K;6;10230;49587;2.097599983;1.797600031;175;0.726140022
20100824131256301-79295;DEMO:/TEST/H174-3C;K;7;10231;27191;0.840229988;0.840229988;1615;1
20100824131256301-79295;DEMO:/TEST/H174-3C;K;8;10232;15080;1.261999965;1.261999965;2346;1
20100824131256301-79295;DEMO:/TEST/H174-3C;K;9;10233;1763;0.171810001;0.171810001;359;1
20100824131256301-79295;DEMO:/TEST/H174-3C;K;10;10234;49596;1.092300057;1.092300057;1694;1
20100824131256301-79295;DEMO:/TEST/H174-3C;K;11;10235;17428;2.622200012;2.074199915;113;0.354229987
20100824131256301-79295;DEMO:/TEST/H174-3C;K;12;10236;37032;2.197599888;1.889600039;173;1
20100824131256301-79295;DEMO:/TEST/H174-3C;K;13;10237;4628;1.228999972;1.228999972;1611;0.998759985
20100824131256301-79295;DEMO:/TEST/H174-3C;K;14;10238;32757;3.254199982;3.254199982;290;0.960259974
20100824131256301-79295;DEMO:/TEST/H174-3C;K;15;10239;47911;0.931940019;0.931940019;1284;1
20100824131256301-79295;DEMO:/TEST/H174-3C;K;16;10240;36588;2.017699957;2.017699957;966;0.993830025
20100824131256301-79295;DEMO:/TEST/H174-3C;K;17;10241;24142;1.74119997;0.881160021;35;0.208330005
20100824131256301-79295;DEMO:/TEST/H174-3C;K;18;10242;5071;1.076099992;1.076099992;321;1
20100824131256301-79295;DEMO:/TEST/H174-3C;K;19;10243;9661;1.013100028;1.013100028;1589;1
20100824131256301-79295;DEMO:/TEST/H174-3C;K;20;10244;14399;1.41960001;1.41960001;1499;0.997340024
20100824131256301-79295;DEMO:/TEST/H174-3C;K;21;10245;2368;1.910899997;1.910899997;2295;1
20100824131256301-79295;DEMO:/TEST/H174-3C;K;22;10246;38131;1.000800014;1.000800014;1892;1
20100824131256301-79295;DEMO:/TEST/H174-3C;K;23;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;K;24;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;L;1;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;L;2;;;;;;
20100824131256301-79295;DEMO:/TEST/H174-3C;L;3;10251;35613;0.532670021;0.532670021;1019;1
20100824131256301-79295;DEMO:/TEST/H174-3C;L;4;10252;16194;0.316740006;0.316740006;370;0.991959989
20100824131256301-79295;DEMO:/TEST/H174-3C;L;5;10253;34309;1.155200005;1.155200005;299;1
20100824131256301-79295;DEMO:/TEST/H174-3C;L;6;10254;21995;0.594269991;0.594269991;602;1
20100824131256301-79295;DEMO:/TEST/H174-3C;L;7;10255;21535;0.905499995;0.905499995;1846;1
20100824131256301-79295;DEMO:/TEST/H174-3C;L;8;10256;4983;0.838310003;0.838310003;905;0.997789979
20100824131256301-79295;DEMO:/TEST/H174-3C;L;9;10257;21961;0.985059977;0.985059977;1484;1
