id,hasPredictions,hasPhenotypes
JJS-DIN185,True,True
JJS-DIN219,True,True
JJS-DIN179,True,True
JJS-MGP029,False,True
JJS-DIN230,True,True
JJS-MGP066,False,True
JJS-DIN038,True,True
JJS-MGP123,False,True
JJS-MGP049,False,True
JJS-DIN169,True,True
JJS-DIN026,True,True
JJS-DIN087,True,True
JJS-MGP081,False,True
JJS-DIN115,True,True
JJS-DIN042,True,True
JJS-DIN249,False,False
JJS-DIN190,True,True
JJS-DIN264,False,False
JJS-DIN060,True,True
JJS-MGP172,False,True
JJS-MGP031,False,True
JJS-DIN049,True,True
JJS-MGP014,False,True
JJS-DIN250,False,False
JJS-DIN253,False,False
JJS-DIN017,True,True
JJS-DIN129,True,True
JJS-DIN231,True,True
JJS-MGP220,False,True
JJS-MGP192,False,True
JJS-DIN109,True,True
JJS-DIN063,True,True
JJS-DIN281,True,True
JJS-MGP001,False,True
JJS-DIN018,True,True
JJS-DIN046,True,True
JJS-DIN024,True,True
JJS-MGP020,False,True
JJS-MGP110,False,True
JJS-MGP012,False,True
JJS-MGP118,False,True
JJS-DIN154,True,True
JJS-DIN176,True,True
JJS-MGP158,False,True
JJS-DIN053,True,True
JJS-MGP059,False,True
JJS-DIN276,True,True
JJS-DIN019,True,True
JJS-DIN027,True,True
JJS-DIN148,True,True
JJS-MGP094,False,True
JJS-DIN265,False,False
JJS-MGP145,False,True
JJS-MGP048,False,True
JJS-DIN212,True,True
JJS-DIN007,True,True
JJS-DIN235,True,True
JJS-MGP027,False,True
JJS-DIN245,True,True
JJS-MGP184,False,True
JJS-MGP146,False,True
JJS-DIN220,True,True
JJS-DIN003,True,True
JJS-DIN128,True,True
JJS-DIN205,True,True
JJS-MGP104,False,True
JJS-MGP155,False,True
JJS-DIN123,True,True
JJS-DIN073,True,True
JJS-DIN078,True,True
JJS-MGP166,False,True
JJS-DIN016,True,True
JJS-MGP107,False,True
JJS-DIN199,True,True
JJS-DIN131,True,True
JJS-MGP051,False,True
JJS-DIN226,True,True
JJS-DIN196,True,True
JJS-MGP096,False,True
JJS-DIN145,True,True
JJS-MGP204,False,True
JJS-MGP177,False,True
JJS-DIN175,True,True
JJS-DIN284,True,True
JJS-DIN259,False,False
JJS-MGP035,False,True
JJS-DIN099,True,True
JJS-MGP198,False,True
JJS-MGP063,False,True
JJS-DIN130,True,True
JJS-MGP132,False,True
JJS-MGP222,False,True
JJS-DIN071,True,True
JJS-MGP121,False,True
JJS-DIN119,True,True
JJS-MGP215,False,True
JJS-MGP175,False,True
JJS-DIN137,True,True
JJS-MGP073,False,True
JJS-MGP130,False,True
JJS-MGP083,False,True
JJS-DIN025,True,True
JJS-DIN062,True,True
JJS-DIN082,True,True
JJS-MGP054,False,True
JJS-MGP127,False,True
JJS-MGP019,False,True
JJS-DIN106,True,True
JJS-MGP167,False,True
JJS-DIN006,True,True
JJS-DIN022,True,True
JJS-MGP052,False,True
JJS-MGP047,False,True
JJS-DIN092,True,True
JJS-DIN242,True,True
JJS-MGP154,False,True
JJS-MGP017,False,True
JJS-DIN167,True,True
JJS-MGP197,False,True
JJS-MGP004,False,True
JJS-DIN066,True,True
JJS-MGP144,False,True
JJS-DIN234,True,True
JJS-DIN251,False,False
JJS-DIN015,True,True
JJS-DIN079,True,True
JJS-DIN256,False,False
JJS-MGP216,False,True
JJS-MGP164,False,True
JJS-DIN142,True,True
JJS-DIN225,True,True
JJS-DIN266,False,False
JJS-DIN076,True,True
JJS-DIN187,True,True
JJS-MGP230,False,True
JJS-MGP112,False,True
JJS-DIN127,True,True
JJS-DIN118,True,True
JJS-DIN283,True,True
JJS-MGP128,False,True
JJS-MGP178,False,True
JJS-MGP194,False,True
JJS-MGP071,False,True
JJS-DIN100,True,True
JJS-DIN004,True,True
JJS-MGP034,False,True
JJS-DIN275,True,True
JJS-DIN031,True,True
JJS-DIN113,True,True
JJS-MGP079,False,True
JJS-DIN202,True,True
JJS-DIN107,True,True
JJS-MGP174,False,True
JJS-MGP053,False,True
JJS-MGP185,False,True
JJS-DIN091,True,True
JJS-DIN085,True,True
JJS-DIN164,True,True
JJS-DIN124,True,True
JJS-DIN104,True,True
JJS-DIN051,True,True
JJS-MGP152,False,True
JJS-DIN159,True,True
JJS-MGP133,False,True
JJS-DIN059,True,True
JJS-MGP196,False,True
JJS-DIN077,True,True
JJS-MGP025,False,True
JJS-DIN156,True,True
JJS-DIN093,True,True
JJS-DIN067,True,True
JJS-DIN139,True,True
JJS-DIN035,True,True
JJS-DIN057,True,True
JJS-DIN149,True,True
JJS-MGP046,False,True
JJS-MGP131,False,True
JJS-MGP210,False,True
JJS-DIN177,True,True
JJS-MGP078,False,True
JJS-MGP089,False,True
JJS-DIN194,True,True
JJS-MGP165,False,True
JJS-DIN166,True,True
JJS-MGP199,False,True
JJS-MGP114,False,True
JJS-DIN286,True,True
JJS-DIN183,True,True
JJS-MGP148,False,True
JJS-DIN267,False,False
JJS-DIN009,True,True
JJS-DIN030,True,True
JJS-MGP091,False,True
JJS-DIN233,True,True
JJS-DIN014,True,True
JJS-DIN089,True,True
JJS-MGP105,False,True
JJS-MGP176,False,True
JJS-MGP231,False,True
JJS-MGP038,False,True
JJS-MGP016,False,True
JJS-MGP186,False,True
JJS-MGP224,False,True
JJS-DIN040,True,True
JJS-MGP226,False,True
JJS-MGP072,False,True
JJS-DIN045,True,True
JJS-MGP085,False,True
JJS-DIN105,True,True
JJS-DIN152,True,True
JJS-MGP116,False,True
JJS-DIN064,True,True
JJS-DIN132,True,True
JJS-MGP056,False,True
JJS-DIN012,True,True
JJS-DIN121,True,True
JJS-MGP205,False,True
JJS-DIN280,True,True
JJS-MGP139,False,True
JJS-MGP153,False,True
JJS-DIN192,True,True
JJS-DIN117,True,True
JJS-MGP064,False,True
JJS-DIN163,True,True
JJS-DIN222,True,True
JJS-MGP069,False,True
JJS-MGP157,False,True
JJS-DIN254,False,False
JJS-DIN274,True,True
JJS-MGP040,False,True
JJS-MGP102,False,True
JJS-DIN023,True,True
JJS-DIN228,True,True
JJS-DIN126,True,True
JJS-MGP126,False,True
JJS-DIN050,True,True
JJS-DIN033,True,True
JJS-MGP045,False,True
JJS-DIN204,True,True
JJS-DIN144,True,True
JJS-DIN269,False,False
JJS-MGP026,False,True
JJS-DIN034,True,True
JJS-MGP103,False,True
JJS-DIN020,True,True
JJS-DIN186,True,True
JJS-DIN058,True,True
JJS-DIN244,True,True
JJS-DIN178,True,True
JJS-MGP141,False,True
JJS-DIN116,True,True
JJS-DIN002,True,True
JJS-DIN125,True,True
JJS-MGP055,False,True
JJS-DIN195,True,True
JJS-DIN170,True,True
JJS-DIN227,True,True
JJS-MGP115,False,True
JJS-DIN213,True,True
JJS-DIN151,True,True
JJS-DIN056,True,True
JJS-MGP147,False,True
JJS-DIN285,True,True
JJS-DIN270,False,False
JJS-MGP084,False,True
JJS-MGP217,False,True
JJS-DIN111,True,True
JJS-DIN155,True,True
JJS-MGP211,False,True
JJS-DIN165,True,True
JJS-MGP181,False,True
JJS-MGP077,False,True
JJS-MGP092,False,True
JJS-MGP150,False,True
JJS-DIN083,True,True
JJS-DIN180,True,True
JJS-MGP006,False,True
JJS-MGP206,False,True
JJS-DIN122,True,True
JJS-DIN140,True,True
JJS-DIN273,True,True
JJS-MGP187,False,True
JJS-DIN207,True,True
JJS-DIN246,True,True
JJS-MGP117,False,True
JJS-DIN258,False,False
JJS-MGP232,False,True
JJS-DIN041,True,True
JJS-DIN013,True,True
JJS-DIN162,True,True
JJS-DIN141,True,True
JJS-DIN277,True,True
JJS-DIN068,True,True
JJS-MGP037,False,True
PROTO-4,False,False
JJS-DIN191,True,True
PROTO-3,False,False
JJS-MGP015,False,True
JJS-MGP225,False,True
JJS-MGP036,False,True
JJS-DIN065,True,True
JJS-DIN094,True,True
JJS-DIN172,True,True
JJS-MGP223,False,True
JJS-DIN074,True,True
JJS-MGP003,False,True
JJS-MGP093,False,True
JJS-DIN221,True,True
JJS-MGP018,False,True
JJS-DIN133,True,True
JJS-DIN081,True,True
JJS-DIN021,True,True
JJS-DIN110,True,True
JJS-MGP162,False,True
JJS-DIN120,True,True
JJS-DIN229,True,True
JJS-DIN032,True,True
JJS-MGP218,False,True
JJS-MGP007,False,True
JJS-DIN161,True,True
JJS-MGP156,False,True
JJS-DIN157,True,True
JJS-MGP119,False,True
JJS-DIN011,True,True
JJS-DIN248,False,False
JJS-MGP041,False,True
JJS-DIN055,True,True
JJS-MGP170,False,True
JJS-MGP191,False,True
JJS-DIN069,True,True
JJS-MGP023,False,True
JJS-MGP188,False,True
JJS-DIN252,False,False
JJS-MGP137,False,True
JJS-MGP080,False,True
JJS-MGP087,False,True
JJS-MGP180,False,True
JJS-MGP058,False,True
JJS-MGP227,False,True
JJS-DIN102,True,True
JJS-MGP076,False,True
JJS-MGP060,False,True
JJS-MGP030,False,True
JJS-DIN232,True,True
JJS-DIN272,False,False
JJS-DIN095,True,True
JJS-MGP149,False,True
JJS-DIN240,True,True
JJS-DIN150,True,True
JJS-DIN043,True,True
JJS-MGP161,False,True
JJS-DIN189,True,True
JJS-MGP233,False,True
JJS-MGP200,False,True
JJS-MGP086,False,True
JJS-DIN181,True,True
JJS-DIN086,True,True
JJS-DIN001,True,True
JJS-MGP221,False,True
JJS-MGP090,False,True
JJS-DIN134,True,True
JJS-MGP228,False,True
JJS-MGP124,False,True
JJS-MGP207,False,True
JJS-DIN160,True,True
JJS-MGP142,False,True
JJS-MGP159,False,True
JJS-DIN260,False,False
JJS-DIN278,True,True
JJS-MGP021,False,True
JJS-DIN200,True,True
JJS-MGP044,False,True
JJS-MGP067,False,True
JJS-DIN193,True,True
JJS-MGP013,False,True
JJS-MGP151,False,True
JJS-DIN075,True,True
PROTO-2,True,False
JJS-DIN239,True,True
JJS-MGP111,False,True
JJS-MGP140,False,True
JJS-MGP070,False,True
JJS-DIN238,True,True
JJS-DIN054,True,True
JJS-DIN218,True,True
JJS-DIN171,True,True
JJS-DIN147,True,True
JJS-DIN261,False,False
JJS-MGP024,False,True
JJS-DIN206,True,True
JJS-DIN010,True,True
JJS-MGP219,False,True
JJS-DIN153,True,True
JJS-MGP068,False,True
JJS-DIN028,True,True
JJS-DIN072,True,True
JJS-DIN088,True,True
JJS-DIN174,True,True
JJS-DIN008,True,True
JJS-DIN184,True,True
JJS-DIN096,True,True
JJS-MGP138,False,True
JJS-DIN103,True,True
JJS-MGP057,False,True
JJS-MGP088,False,True
JJS-DIN247,True,True
JJS-MGP075,False,True
JJS-MGP008,False,True
JJS-MGP125,False,True
JJS-MGP208,False,True
JJS-MGP190,False,True
JJS-MGP193,False,True
JJS-MGP189,False,True
JJS-DIN241,True,True
JJS-MGP183,False,True
JJS-MGP234,False,True
JJS-DIN037,True,True
JJS-DIN279,True,True
JJS-DIN061,True,True
JJS-DIN201,True,True
JJS-DIN044,True,True
JJS-MGP099,False,True
JJS-MGP100,False,True
JJS-DIN114,True,True
JJS-MGP039,False,True
JJS-DIN271,True,True
JJS-MGP212,False,True
JJS-DIN255,False,False
JJS-MGP005,False,True
PROTO-1,False,False
JJS-MGP022,False,True
JJS-DIN136,True,True
JJS-MGP010,False,True
JJS-DIN143,True,True
JJS-DIN268,False,False
JJS-MGP201,False,True
JJS-MGP163,False,True
JJS-MGP108,False,True
JJS-MGP043,False,True
JJS-MGP999,False,True
