col-num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
G,263.6226,332.7814,278.146,268.6453,263.5659,274.6137,241.7147,247.5018,272.592,244.8592,279.1495,319.5786,263.6392,292.8595,283.3316,264.4486,220.1788,267.1238,250.9069,218.0353,256.6241,278.5304,244.94,225.6514
H,269.7182,254.7598,229.2486,255.5689,301.6039,234.7878,304.9098,279.1663,317.4405,233.2675,302.3481,249.6264,303.3405,276.7132,315.9233,261.3772,271.4208,236.2578,252.4042,229.0757,313.7014,230.6773,242.1033,258.005
I,222.1743,272.3792,328.0608,231.5857,247.9255,286.8381,304.444,212.6279,228.1119,283.8722,217.2634,232.6765,252.6632,273.796,282.2749,250.5738,290.0587,258.3428,242.1916,244.0007,221.4743,234.3534,240.748,264.321
J,234.6212,261.7389,277.3192,260.0915,262.8268,241.8075,264.7434,233.6342,249.3442,267.7439,252.4288,246.0683,238.3559,260.7921,267.3897,260.8419,262.907,260.5189,245.0343,241.3348,217.8836,260.7054,242.5462,217.059
K,266.9093,266.0091,272.6144,294.763,260.0414,271.4843,280.9854,246.6399,296.246,290.3536,294.3985,259.4516,275.9522,247.7139,247.8263,259.5263,269.8314,259.4743,279.5896,286.6279,235.4752,240.8117,229.5896,240.5918
L,263.734,86.7181,287.3224,327.382,273.0821,334.3973,279.4346,307.7083,335.713,286.5192,303.43,307.7026,252.416,306.4366,239.8779,295.273,270.6765,275.084,317.8058,304.1881,247.0372,265.2909,253.0834,253.6245
M,293.3203,288.3037,277.0071,292.4534,286.3962,291.8686,340.2094,288.4008,358.5598,318.068,328.6513,303.3977,277.2816,311.2789,290.3646,280.2356,326.1156,310.6626,321.3715,290.4605,284.9011,270.8058,233.1144,280.5782
N,259.4021,279.2958,273.018,289.4179,292.7005,290.4575,302.8246,275.8537,305.4058,287.4901,302.8283,285.0074,285.3702,292.5364,262.6161,284.0781,303.3363,283.5452,293.229,262.1301,251.5363,264.9755,242.5179,290.8165
O,245.1567,264.4216,270.4886,284.4724,276.9747,237.0554,264.1606,297.8049,304.3776,260.8261,255.0453,249.9307,280.4087,278.8761,289.9867,284.1877,244.0959,286.9754,262.0079,288.1653,282.3524,251.1127,260.5986,249.8202
P,291.0052,229.2478,263.8796,250.6608,294.4584,245.6535,251.7157,302.3761,268.8296,240.621,234.2066,258.7741,254.0395,274.0456,244.6902,259.4856,240.7041,255.1646,262.5207,261.6981,246.3917,228.957,249.6543,271.8637
 , , , , , , , , , , , , , , , , , , , , , , , , 
labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
B,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
C,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
D,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
E,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
F,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
G,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
H,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
I,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
J,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
K,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
L,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
M,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
N,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
O,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
P,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c
